"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/01/2025 00:00",947,1257,483,801,778,1731,601,184,4206,549,1447,12984
"06/01/2025 01:00",909,1218,458,772,737,1628,579,175,4029,548,1415,12468
"06/01/2025 02:00",890,1209,439,757,714,1563,567,165,3895,544,1398,12141
"06/01/2025 03:00",883,1188,424,746,703,1524,561,161,3797,542,1389,11918
"06/01/2025 04:00",889,1184,415,745,699,1518,565,160,3745,540,1387,11847
"06/01/2025 05:00",891,1185,413,748,699,1501,572,159,3717,543,1382,11810
"06/01/2025 06:00",890,1197,418,736,692,1483,577,161,3753,550,1385,11842
"06/01/2025 07:00",883,1182,429,706,668,1477,568,164,3897,558,1394,11926
"06/01/2025 08:00",875,1167,443,689,645,1483,565,173,4074,567,1399,12080
"06/01/2025 09:00",857,1120,456,691,628,1496,557,183,4242,568,1394,12192
"06/01/2025 10:00",845,1100,461,695,633,1514,536,189,4376,570,1401,12320
"06/01/2025 11:00",826,1093,469,688,640,1527,526,190,4477,569,1408,12413
"06/01/2025 12:00",806,1093,476,680,635,1577,511,193,4556,569,1411,12507
"06/01/2025 13:00",793,1085,480,684,621,1650,495,188,4607,569,1415,12587
"06/01/2025 14:00",790,1089,483,694,625,1698,494,191,4635,566,1421,12686
"06/01/2025 15:00",805,1095,493,708,632,1745,495,202,4662,569,1427,12833
"06/01/2025 16:00",875,1163,506,735,693,1871,534,212,4744,575,1457,13365
"06/01/2025 17:00",971,1267,527,786,786,2042,588,227,4828,582,1500,14104
"06/01/2025 18:00",1058,1375,541,849,873,2157,649,238,4884,590,1555,14769
"06/01/2025 19:00",1118,1450,547,904,923,2173,700,245,4866,591,1592,15109
"06/01/2025 20:00",1145,1477,560,937,945,2180,724,248,4873,592,1610,15291
"06/01/2025 21:00",1126,1461,554,943,931,2146,716,242,4849,588,1613,15169
"06/01/2025 22:00",1055,1386,523,899,870,2011,666,221,4669,576,1564,14440
"06/01/2025 23:00",984,1314,488,844,803,1834,621,200,4414,562,1504,13568
"06/02/2025 00:00",939,1264,473,814,751,1688,593,183,4111,559,1474,12849
"06/02/2025 01:00",908,1232,461,791,718,1595,575,174,3930,555,1448,12387
"06/02/2025 02:00",897,1215,444,777,698,1546,566,168,3807,551,1436,12105
"06/02/2025 03:00",898,1213,436,773,692,1522,564,162,3741,548,1432,11981
"06/02/2025 04:00",923,1244,435,788,699,1543,583,165,3757,549,1450,12136
"06/02/2025 05:00",971,1309,453,824,727,1608,623,178,3916,562,1494,12665
"06/02/2025 06:00",1026,1372,489,841,763,1699,638,198,4298,580,1554,13458
"06/02/2025 07:00",1006,1303,523,802,752,1784,556,208,4737,584,1593,13848
"06/02/2025 08:00",919,1176,532,748,701,1816,468,205,5026,576,1573,13740
"06/02/2025 09:00",831,1073,539,710,624,1790,399,199,5199,568,1556,13488
"06/02/2025 10:00",796,1025,541,697,591,1786,354,197,5281,562,1547,13377
"06/02/2025 11:00",788,1006,545,697,588,1782,316,196,5335,560,1549,13362
"06/02/2025 12:00",774,1005,539,695,604,1786,304,201,5375,561,1549,13393
"06/02/2025 13:00",789,1015,539,711,615,1828,300,200,5413,556,1565,13531
"06/02/2025 14:00",795,1001,547,723,634,1901,306,205,5494,561,1572,13739
"06/02/2025 15:00",820,997,571,739,678,2033,312,217,5598,564,1584,14113
"06/02/2025 16:00",903,1068,598,761,778,2208,358,235,5720,575,1622,14826
"06/02/2025 17:00",1051,1220,632,835,902,2398,443,262,5793,588,1664,15788
"06/02/2025 18:00",1169,1401,646,934,1010,2506,572,282,5680,599,1727,16526
"06/02/2025 19:00",1230,1525,627,1017,1038,2474,691,276,5546,610,1752,16786
"06/02/2025 20:00",1245,1569,621,1036,1042,2420,753,272,5409,613,1741,16721
"06/02/2025 21:00",1203,1533,607,1016,1004,2313,741,261,5261,603,1724,16266
"06/02/2025 22:00",1111,1436,568,951,921,2122,687,237,4999,586,1654,15272
"06/02/2025 23:00",1026,1353,519,895,832,1914,633,211,4666,571,1577,14197
"06/03/2025 00:00",967,1299,492,856,766,1767,599,189,4284,564,1534,13317
"06/03/2025 01:00",937,1265,478,828,732,1658,576,175,4070,561,1495,12775
"06/03/2025 02:00",923,1241,459,810,710,1594,564,171,3932,558,1472,12434
"06/03/2025 03:00",916,1237,449,801,703,1562,563,165,3859,555,1462,12272
"06/03/2025 04:00",937,1261,447,813,710,1581,581,169,3878,560,1477,12414
"06/03/2025 05:00",975,1318,462,847,735,1646,620,180,4047,570,1522,12922
"06/03/2025 06:00",1027,1398,502,886,776,1748,654,201,4470,580,1592,13834
"06/03/2025 07:00",1032,1386,539,897,775,1851,608,215,4939,583,1642,14467
"06/03/2025 08:00",979,1258,554,855,733,1886,526,215,5272,576,1645,14499
"06/03/2025 09:00",911,1145,566,822,679,1886,460,212,5491,573,1641,14386
"06/03/2025 10:00",879,1112,577,818,656,1925,414,209,5626,576,1653,14445
"06/03/2025 11:00",865,1122,591,837,659,1963,379,213,5760,573,1674,14636
"06/03/2025 12:00",845,1147,599,862,688,2009,360,227,5892,569,1698,14896
"06/03/2025 13:00",860,1188,617,904,731,2111,346,238,6015,566,1730,15306
"06/03/2025 14:00",918,1225,644,920,791,2225,370,251,6142,575,1744,15805
"06/03/2025 15:00",996,1255,680,941,858,2384,412,270,6286,582,1763,16427
"06/03/2025 16:00",1110,1355,712,970,987,2595,481,293,6418,588,1809,17318
"06/03/2025 17:00",1255,1508,749,1053,1123,2776,560,319,6485,603,1875,18306
"06/03/2025 18:00",1371,1685,742,1161,1207,2824,676,330,6315,615,1955,18881
"06/03/2025 19:00",1416,1797,733,1248,1245,2761,782,329,6153,617,1974,19055
"06/03/2025 20:00",1417,1823,720,1254,1227,2656,830,323,5981,618,1958,18807
"06/03/2025 21:00",1372,1781,701,1218,1175,2535,815,305,5827,610,1933,18272
"06/03/2025 22:00",1259,1661,651,1131,1072,2330,750,277,5542,598,1847,17118
"06/03/2025 23:00",1147,1544,597,1050,966,2107,683,247,5198,588,1746,15873
