"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/14/2025 00:00",1061,1360,588,844,951,2079,644,244,5195,547,1509,15022
"06/14/2025 01:00",1014,1307,558,812,890,1944,616,230,4976,544,1466,14357
"06/14/2025 02:00",988,1282,531,794,850,1852,601,216,4816,538,1442,13910
"06/14/2025 03:00",979,1260,510,788,831,1796,591,208,4710,536,1432,13641
"06/14/2025 04:00",979,1257,498,789,818,1777,592,202,4657,534,1436,13539
"06/14/2025 05:00",985,1273,502,801,819,1774,600,203,4654,538,1441,13590
"06/14/2025 06:00",999,1294,517,812,841,1824,604,210,4755,544,1448,13848
"06/14/2025 07:00",1025,1313,537,815,871,1932,594,229,4936,549,1478,14279
"06/14/2025 08:00",1058,1320,568,820,921,2078,585,250,5134,556,1491,14781
"06/14/2025 09:00",1066,1331,589,818,946,2184,557,263,5318,557,1510,15139
"06/14/2025 10:00",1066,1337,599,819,960,2291,525,277,5455,552,1514,15395
"06/14/2025 11:00",1045,1342,622,814,959,2344,493,281,5541,549,1514,15504
"06/14/2025 12:00",1019,1347,628,804,951,2365,469,269,5552,543,1512,15459
"06/14/2025 13:00",1001,1333,606,804,967,2345,454,270,5506,535,1524,15345
"06/14/2025 14:00",992,1331,602,815,973,2317,447,270,5453,534,1535,15269
"06/14/2025 15:00",1011,1362,606,842,985,2269,441,271,5424,544,1539,15294
"06/14/2025 16:00",1068,1420,604,859,1004,2276,494,278,5427,550,1560,15540
"06/14/2025 17:00",1146,1473,613,900,1033,2309,578,285,5435,565,1604,15941
"06/14/2025 18:00",1192,1543,616,973,1047,2301,662,283,5402,579,1652,16250
"06/14/2025 19:00",1221,1580,608,1009,1042,2271,729,281,5302,589,1669,16301
"06/14/2025 20:00",1231,1579,610,1013,1042,2268,762,281,5266,591,1663,16306
"06/14/2025 21:00",1211,1567,603,1009,1026,2217,760,274,5198,588,1663,16116
"06/14/2025 22:00",1147,1490,579,958,968,2106,715,261,5033,578,1610,15445
"06/14/2025 23:00",1082,1407,546,898,904,1970,665,241,4815,566,1545,14639
"06/15/2025 00:00",1033,1337,522,840,839,1852,619,220,4655,555,1493,13965
"06/15/2025 01:00",993,1289,500,805,791,1745,593,210,4468,552,1453,13399
"06/15/2025 02:00",969,1266,477,786,760,1671,577,199,4329,546,1429,13009
