"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/17/2025 00:00",1139,1415,516,997,865,1833,689,223,4632,565,1699,14573
"06/17/2025 01:00",1107,1375,496,953,825,1742,659,213,4441,562,1630,14003
"06/17/2025 02:00",1084,1348,478,922,799,1686,642,204,4315,559,1583,13620
"06/17/2025 03:00",1072,1341,467,905,784,1657,634,199,4246,555,1556,13416
"06/17/2025 04:00",1087,1365,468,910,788,1679,646,202,4273,559,1562,13539
"06/17/2025 05:00",1132,1423,488,941,822,1754,686,213,4472,568,1602,14101
"06/17/2025 06:00",1209,1531,539,997,879,1891,738,240,4928,580,1666,15198
"06/17/2025 07:00",1254,1597,590,1046,928,2030,744,257,5409,587,1747,16189
"06/17/2025 08:00",1249,1632,614,1051,944,2133,735,266,5758,586,1789,16757
"06/17/2025 09:00",1226,1625,630,1050,943,2183,707,273,5953,586,1822,16998
"06/17/2025 10:00",1235,1650,640,1076,950,2234,704,275,6039,591,1883,17277
"06/17/2025 11:00",1239,1618,652,1101,965,2267,697,281,6129,593,1938,17480
"06/17/2025 12:00",1258,1613,659,1133,985,2295,693,283,6191,593,1972,17675
"06/17/2025 13:00",1253,1618,662,1178,992,2344,697,283,6230,594,2018,17869
"06/17/2025 14:00",1273,1684,662,1203,1016,2370,711,282,6220,600,2047,18068
"06/17/2025 15:00",1289,1664,674,1235,1043,2406,729,285,6250,605,2078,18258
"06/17/2025 16:00",1338,1715,685,1267,1078,2464,761,296,6319,611,2113,18647
"06/17/2025 17:00",1396,1738,692,1310,1116,2526,792,309,6326,618,2143,18966
"06/17/2025 18:00",1438,1764,690,1349,1145,2537,823,321,6127,623,2149,18966
"06/17/2025 19:00",1455,1809,686,1377,1160,2514,865,320,5982,621,2147,18936
"06/17/2025 20:00",1452,1810,676,1363,1158,2494,889,311,5851,619,2118,18741
"06/17/2025 21:00",1413,1772,659,1334,1132,2427,871,300,5725,607,2088,18328
"06/17/2025 22:00",1311,1655,623,1244,1054,2273,812,279,5452,592,2001,17296
"06/17/2025 23:00",1216,1548,578,1150,967,2081,747,251,5122,585,1888,16133
"06/18/2025 00:00",1176,1474,548,1085,903,1956,702,241,4929,577,1808,15399
"06/18/2025 01:00",1145,1430,522,1035,862,1855,671,232,4723,573,1733,14781
"06/18/2025 02:00",1119,1397,500,998,835,1791,653,221,4580,569,1682,14345
"06/18/2025 03:00",1110,1387,487,977,819,1754,645,215,4502,568,1650,14114
"06/18/2025 04:00",1125,1407,489,981,821,1767,656,218,4518,569,1650,14201
"06/18/2025 05:00",1174,1459,513,1013,851,1835,698,228,4718,579,1689,14757
"06/18/2025 06:00",1254,1560,569,1067,899,1976,758,256,5196,597,1759,15891
"06/18/2025 07:00",1297,1621,623,1111,932,2127,770,272,5712,605,1846,16916
"06/18/2025 08:00",1274,1654,644,1126,919,2239,763,279,6103,603,1884,17488
"06/18/2025 09:00",1236,1644,660,1132,900,2311,732,287,6342,601,1916,17761
"06/18/2025 10:00",1249,1696,676,1169,910,2410,721,293,6499,606,1964,18193
"06/18/2025 11:00",1268,1682,699,1190,944,2507,705,306,6674,607,2007,18589
"06/18/2025 12:00",1305,1702,722,1210,990,2577,680,318,6823,606,2038,18971
"06/18/2025 13:00",1329,1723,745,1254,1037,2666,674,329,6967,607,2090,19421
"06/18/2025 14:00",1369,1832,770,1287,1117,2759,680,343,7089,613,2118,19977
"06/18/2025 15:00",1420,1813,812,1326,1204,2872,707,362,7254,614,2137,20521
"06/18/2025 16:00",1500,1875,847,1359,1288,3014,750,385,7428,620,2175,21241
"06/18/2025 17:00",1591,1940,866,1395,1365,3132,798,404,7471,629,2201,21792
"06/18/2025 18:00",1655,2002,870,1450,1422,3146,863,414,7236,639,2208,21905
"06/18/2025 19:00",1702,2089,861,1496,1437,3083,943,407,7046,643,2201,21908
"06/18/2025 20:00",1700,2089,841,1481,1414,3010,978,396,6888,640,2167,21604
"06/18/2025 21:00",1646,2029,816,1445,1362,2897,956,378,6765,631,2137,21062
"06/18/2025 22:00",1509,1874,769,1339,1250,2687,884,350,6478,609,2041,19790
"06/18/2025 23:00",1386,1740,710,1231,1138,2443,810,313,6112,595,1922,18400
"06/19/2025 00:00",1324,1670,678,1155,1069,2301,763,302,5826,600,1869,17557
"06/19/2025 01:00",1283,1595,643,1098,1010,2154,729,288,5559,603,1794,16756
"06/19/2025 02:00",1241,1531,611,1058,962,2052,708,274,5363,595,1742,16137
"06/19/2025 03:00",1216,1529,591,1036,930,1987,690,265,5238,585,1708,15775
"06/19/2025 04:00",1228,1543,583,1034,921,1978,697,262,5213,587,1705,15751
"06/19/2025 05:00",1258,1592,598,1061,941,2019,733,265,5348,599,1734,16148
"06/19/2025 06:00",1298,1669,639,1114,956,2117,766,287,5730,605,1786,16967
"06/19/2025 07:00",1337,1728,694,1154,983,2263,770,304,6210,601,1866,17910
"06/19/2025 08:00",1333,1793,738,1164,989,2451,762,327,6645,601,1900,18703
"06/19/2025 09:00",1336,1795,785,1160,1017,2610,775,349,6991,608,1897,19323
"06/19/2025 10:00",1407,1835,831,1176,1077,2765,775,370,7275,623,1913,20047
"06/19/2025 11:00",1470,1807,886,1165,1189,2920,772,403,7565,623,1935,20735
"06/19/2025 12:00",1549,1774,935,1145,1302,3072,765,435,7816,626,1918,21337
"06/19/2025 13:00",1593,1731,980,1149,1376,3212,755,460,8000,643,1921,21820
"06/19/2025 14:00",1623,1799,1011,1138,1469,3377,747,471,8173,633,1927,22368
"06/19/2025 15:00",1638,1732,1053,1181,1548,3563,755,493,8371,632,1931,22897
"06/19/2025 16:00",1660,1753,1088,1206,1602,3729,763,508,8543,628,1974,23454
"06/19/2025 17:00",1699,1761,1092,1227,1636,3830,799,506,8558,622,2004,23734
"06/19/2025 18:00",1724,1794,1061,1256,1625,3802,826,493,8203,633,1998,23415
"06/19/2025 19:00",1749,1872,1023,1282,1604,3679,881,473,7890,637,1991,23081
"06/19/2025 20:00",1734,1867,978,1266,1545,3517,913,443,7635,634,1956,22488
"06/19/2025 21:00",1683,1809,932,1243,1458,3372,890,411,7424,630,1918,21770
"06/19/2025 22:00",1547,1669,865,1155,1322,3119,823,373,7055,610,1829,20367
"06/19/2025 23:00",1403,1543,793,1067,1178,2826,748,334,6638,592,1739,18861
"06/20/2025 00:00",1319,1459,723,1001,1080,2597,686,308,6235,586,1661,17655
"06/20/2025 01:00",1264,1404,671,953,1006,2398,649,285,5871,581,1594,16676
"06/20/2025 02:00",1223,1367,630,919,951,2252,626,264,5590,571,1546,15939
"06/20/2025 03:00",1199,1356,600,898,914,2148,612,250,5396,567,1519,15459
"06/20/2025 04:00",1202,1368,587,897,896,2106,617,244,5310,567,1521,15315
"06/20/2025 05:00",1230,1402,590,918,899,2115,643,247,5404,573,1547,15568
"06/20/2025 06:00",1263,1470,624,948,910,2194,674,264,5801,585,1599,16332
"06/20/2025 07:00",1265,1500,671,966,902,2314,652,275,6287,591,1676,17099
"06/20/2025 08:00",1222,1525,696,960,859,2424,627,280,6674,590,1707,17564
"06/20/2025 09:00",1176,1489,718,934,830,2503,589,288,6915,592,1710,17744
"06/20/2025 10:00",1197,1486,740,942,845,2616,569,301,7067,593,1723,18079
"06/20/2025 11:00",1218,1429,769,939,905,2747,553,322,7210,594,1747,18433
"06/20/2025 12:00",1256,1427,800,945,984,2870,535,343,7319,595,1761,18835
"06/20/2025 13:00",1276,1413,831,974,1047,3052,525,360,7425,593,1791,19287
"06/20/2025 14:00",1311,1509,857,1000,1114,3208,535,369,7506,598,1817,19824
"06/20/2025 15:00",1364,1482,894,1041,1204,3354,563,386,7634,598,1849,20369
"06/20/2025 16:00",1436,1535,920,1080,1287,3491,608,399,7754,599,1897,21006
"06/20/2025 17:00",1517,1576,919,1125,1352,3564,653,406,7742,606,1926,21386
"06/20/2025 18:00",1561,1639,899,1178,1395,3510,724,404,7459,609,1939,21317
"06/20/2025 19:00",1580,1734,879,1219,1401,3382,800,389,7172,612,1943,21111
"06/20/2025 20:00",1555,1738,849,1203,1361,3230,837,372,6956,608,1899,20608
"06/20/2025 21:00",1509,1705,826,1181,1304,3090,827,355,6830,602,1868,20097
"06/20/2025 22:00",1397,1598,782,1106,1202,2872,776,329,6565,592,1789,19008
"06/20/2025 23:00",1288,1492,724,1026,1092,2608,715,297,6204,582,1696,17724
"06/21/2025 00:00",1220,1420,664,957,997,2368,652,285,5778,586,1640,16567
"06/21/2025 01:00",1164,1362,622,911,925,2184,615,264,5480,578,1579,15684
