"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/06/2025 00:00",1314,1514,704,954,1124,2234,700,294,5986,549,1580,16953
"06/06/2025 01:00",1245,1458,659,915,1048,2074,666,267,5678,546,1537,16093
"06/06/2025 02:00",1201,1426,619,889,990,1970,642,256,5442,538,1508,15481
"06/06/2025 03:00",1177,1406,598,879,957,1905,633,246,5287,535,1492,15115
"06/06/2025 04:00",1180,1431,592,887,944,1896,643,240,5240,535,1502,15090
"06/06/2025 05:00",1223,1479,602,922,956,1955,679,249,5396,542,1543,15546
"06/06/2025 06:00",1297,1588,656,984,1010,2074,727,272,5848,557,1619,16632
"06/06/2025 07:00",1339,1627,709,1037,1051,2199,718,291,6354,568,1693,17586
"06/06/2025 08:00",1328,1615,743,1044,1073,2294,704,299,6730,571,1720,18121
"06/06/2025 09:00",1314,1602,776,1046,1089,2380,688,312,7010,575,1728,18520
"06/06/2025 10:00",1319,1606,813,1056,1126,2510,684,328,7220,580,1746,18988
"06/06/2025 11:00",1345,1621,847,1060,1184,2652,699,352,7405,583,1735,19483
"06/06/2025 12:00",1375,1646,871,1067,1239,2766,704,369,7534,586,1755,19912
"06/06/2025 13:00",1422,1673,893,1071,1300,2906,709,381,7619,588,1763,20325
"06/06/2025 14:00",1429,1683,922,1068,1327,3008,717,399,7664,591,1764,20572
"06/06/2025 15:00",1450,1677,948,1066,1353,3129,715,404,7690,589,1755,20776
"06/06/2025 16:00",1502,1684,957,1065,1403,3189,725,407,7685,591,1766,20974
"06/06/2025 17:00",1552,1702,960,1081,1429,3204,749,406,7602,594,1775,21054
"06/06/2025 18:00",1545,1739,928,1091,1416,3142,781,392,7289,594,1787,20704
"06/06/2025 19:00",1535,1756,887,1110,1393,3033,823,383,7029,592,1792,20333
"06/06/2025 20:00",1523,1742,857,1103,1366,2925,845,368,6819,588,1761,19897
"06/06/2025 21:00",1476,1710,827,1087,1309,2777,831,351,6659,580,1752,19359
"06/06/2025 22:00",1380,1614,775,1022,1212,2578,778,327,6369,570,1684,18309
"06/06/2025 23:00",1285,1508,716,957,1112,2363,718,298,6017,559,1607,17140
"06/07/2025 00:00",1228,1441,649,903,1019,2146,670,279,5657,567,1567,16126
"06/07/2025 01:00",1171,1374,612,862,953,1991,636,259,5378,560,1512,15308
"06/07/2025 02:00",1135,1351,579,836,911,1886,617,244,5172,555,1476,14762
"06/07/2025 03:00",1119,1324,554,822,888,1817,606,237,5029,552,1458,14406
"06/07/2025 04:00",1120,1317,538,818,874,1793,603,229,4959,549,1451,14251
"06/07/2025 05:00",1128,1324,538,822,870,1785,608,232,4950,551,1446,14254
"06/07/2025 06:00",1147,1339,555,813,885,1831,608,239,5063,560,1440,14480
"06/07/2025 07:00",1182,1345,579,796,909,1923,599,255,5275,566,1463,14892
"06/07/2025 08:00",1215,1328,608,786,941,2049,595,274,5504,579,1478,15357
"06/07/2025 09:00",1225,1287,631,784,958,2138,572,289,5712,580,1492,15668
"06/07/2025 10:00",1241,1270,648,787,1003,2233,542,304,5905,581,1496,16010
"06/07/2025 11:00",1229,1256,673,787,1038,2320,524,313,6073,582,1498,16293
"06/07/2025 12:00",1217,1246,689,779,1048,2404,505,313,6186,578,1505,16470
"06/07/2025 13:00",1211,1223,700,791,1067,2470,492,319,6239,575,1524,16611
"06/07/2025 14:00",1212,1214,714,809,1085,2509,490,331,6269,573,1556,16762
"06/07/2025 15:00",1245,1234,733,843,1090,2539,484,339,6281,575,1583,16946
"06/07/2025 16:00",1311,1330,740,873,1143,2597,532,355,6344,579,1637,17441
"06/07/2025 17:00",1405,1440,759,932,1202,2684,604,368,6372,587,1696,18049
"06/07/2025 18:00",1445,1557,758,1021,1244,2711,681,364,6302,595,1750,18428
"06/07/2025 19:00",1462,1625,745,1073,1248,2654,740,357,6185,601,1753,18443
"06/07/2025 20:00",1444,1618,734,1069,1223,2610,762,350,6122,600,1716,18248
"06/07/2025 21:00",1401,1582,720,1050,1180,2540,754,340,6067,596,1693,17923
"06/07/2025 22:00",1310,1485,681,988,1098,2393,703,317,5888,586,1632,17081
"06/07/2025 23:00",1221,1395,638,916,1013,2212,645,290,5633,575,1556,16094
"06/08/2025 00:00",1149,1319,601,856,912,2049,599,263,5311,565,1504,15128
"06/08/2025 01:00",1094,1265,567,817,848,1905,568,244,5051,561,1463,14383
"06/08/2025 02:00",1057,1250,535,794,805,1807,549,229,4850,555,1438,13869
"06/08/2025 03:00",1037,1229,508,780,781,1738,539,223,4705,552,1420,13512
"06/08/2025 04:00",1032,1222,492,774,766,1707,539,214,4624,551,1415,13336
"06/08/2025 05:00",1022,1212,488,771,753,1681,534,214,4589,550,1403,13217
"06/08/2025 06:00",1006,1185,497,746,750,1683,496,218,4634,548,1392,13155
"06/08/2025 07:00",1000,1142,513,713,756,1724,439,230,4779,547,1401,13244
"06/08/2025 08:00",1004,1100,534,709,762,1821,417,246,4983,554,1409,13539
"06/08/2025 09:00",999,1071,553,721,746,1898,405,259,5181,561,1421,13815
"06/08/2025 10:00",1015,1082,571,741,768,1995,393,272,5374,564,1439,14214
"06/08/2025 11:00",1014,1096,600,753,797,2097,396,284,5563,566,1460,14626
"06/08/2025 12:00",1019,1120,621,763,825,2215,404,289,5693,566,1484,14999
"06/08/2025 13:00",1027,1131,641,780,866,2306,405,300,5780,566,1508,15310
"06/08/2025 14:00",1037,1165,660,802,920,2361,416,318,5829,565,1536,15609
"06/08/2025 15:00",1097,1219,683,831,962,2434,427,334,5876,570,1560,15993
"06/08/2025 16:00",1203,1322,696,864,1049,2521,489,355,5932,576,1612,16619
"06/08/2025 17:00",1320,1436,715,929,1132,2600,573,373,5958,589,1665,17290
