"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/10/2025 00:00",1120,1455,525,955,860,1835,681,219,4770,551,1555,14526
"06/10/2025 01:00",1086,1409,500,921,823,1738,656,207,4588,548,1517,13993
"06/10/2025 02:00",1066,1375,482,896,799,1682,638,202,4467,544,1489,13640
"06/10/2025 03:00",1060,1364,473,883,790,1657,631,199,4402,542,1470,13471
"06/10/2025 04:00",1077,1387,476,890,796,1680,646,202,4430,544,1480,13608
"06/10/2025 05:00",1134,1443,501,919,832,1759,691,214,4635,555,1526,14209
"06/10/2025 06:00",1217,1541,563,952,905,1892,755,242,5102,572,1589,15330
"06/10/2025 07:00",1271,1545,614,955,959,2002,751,262,5567,585,1649,16160
"06/10/2025 08:00",1259,1466,634,923,973,2090,713,268,5895,585,1661,16467
"06/10/2025 09:00",1237,1384,647,902,972,2147,655,273,6109,581,1648,16555
"06/10/2025 10:00",1234,1355,659,911,979,2212,605,275,6241,583,1651,16705
"06/10/2025 11:00",1240,1371,673,903,979,2287,572,280,6392,579,1654,16930
"06/10/2025 12:00",1237,1377,685,896,992,2354,555,279,6499,576,1644,17094
"06/10/2025 13:00",1237,1399,696,907,1023,2446,539,282,6578,576,1639,17322
"06/10/2025 14:00",1233,1389,707,918,1042,2521,530,296,6630,580,1638,17484
"06/10/2025 15:00",1257,1388,730,926,1070,2598,517,302,6704,581,1640,17713
"06/10/2025 16:00",1302,1431,748,940,1107,2678,547,317,6775,585,1682,18112
"06/10/2025 17:00",1374,1506,766,978,1166,2736,609,329,6785,594,1744,18587
"06/10/2025 18:00",1439,1621,758,1067,1205,2721,702,338,6567,602,1798,18818
"06/10/2025 19:00",1476,1716,754,1146,1230,2703,787,341,6455,602,1814,19024
"06/10/2025 20:00",1475,1716,742,1150,1227,2679,840,334,6310,600,1787,18860
"06/10/2025 21:00",1423,1676,725,1122,1189,2594,825,324,6172,591,1775,18416
"06/10/2025 22:00",1313,1569,682,1040,1092,2410,763,300,5874,577,1699,17319
"06/10/2025 23:00",1208,1450,626,958,991,2192,699,267,5499,569,1607,16066
"06/11/2025 00:00",1136,1385,585,921,913,2023,650,254,5175,565,1575,15182
"06/11/2025 01:00",1086,1337,546,889,859,1894,622,235,4918,560,1534,14480
"06/11/2025 02:00",1051,1302,516,865,819,1811,603,223,4727,554,1506,13977
"06/11/2025 03:00",1034,1289,496,854,797,1762,598,215,4605,551,1487,13688
"06/11/2025 04:00",1043,1309,492,865,791,1759,610,214,4578,554,1496,13711
"06/11/2025 05:00",1081,1347,510,891,806,1801,640,221,4740,563,1534,14134
"06/11/2025 06:00",1128,1396,565,906,848,1900,655,246,5183,573,1591,14991
"06/11/2025 07:00",1134,1352,619,884,854,1999,606,262,5686,575,1642,15613
"06/11/2025 08:00",1073,1251,635,844,812,2073,535,260,6038,566,1642,15729
"06/11/2025 09:00",1008,1209,643,845,750,2124,465,258,6250,566,1645,15763
"06/11/2025 10:00",997,1230,653,873,732,2203,437,262,6375,570,1655,15987
"06/11/2025 11:00",1042,1261,668,883,775,2335,432,273,6534,572,1669,16444
"06/11/2025 12:00",1084,1265,692,906,845,2465,435,289,6648,571,1686,16886
"06/11/2025 13:00",1139,1284,724,949,928,2626,435,303,6764,571,1724,17447
"06/11/2025 14:00",1181,1297,754,978,989,2795,441,332,6909,577,1750,18003
"06/11/2025 15:00",1243,1316,802,1012,1063,2954,462,355,7093,578,1775,18653
"06/11/2025 16:00",1316,1390,839,1054,1162,3139,519,380,7264,585,1835,19483
"06/11/2025 17:00",1413,1546,866,1113,1258,3288,604,395,7318,598,1912,20311
"06/11/2025 18:00",1506,1718,855,1215,1326,3293,720,399,7088,611,1964,20695
"06/11/2025 19:00",1559,1841,842,1300,1349,3195,815,394,6903,620,1986,20804
"06/11/2025 20:00",1565,1854,821,1298,1335,3095,865,385,6730,619,1948,20515
"06/11/2025 21:00",1517,1817,803,1272,1282,2956,852,371,6570,611,1930,19981
"06/11/2025 22:00",1402,1702,755,1180,1169,2708,788,340,6263,594,1845,18746
"06/11/2025 23:00",1290,1579,691,1088,1059,2440,726,301,5891,580,1745,17390
"06/12/2025 00:00",1231,1500,638,1025,981,2236,676,274,5551,575,1665,16352
"06/12/2025 01:00",1183,1445,597,976,924,2080,649,255,5288,570,1605,15572
"06/12/2025 02:00",1150,1401,568,938,880,1976,633,242,5100,565,1563,15016
"06/12/2025 03:00",1134,1386,547,917,855,1913,621,233,4977,563,1536,14682
"06/12/2025 04:00",1143,1402,542,920,846,1903,630,230,4951,565,1537,14669
"06/12/2025 05:00",1183,1452,559,949,858,1942,659,238,5105,572,1574,15091
"06/12/2025 06:00",1225,1524,616,986,896,2036,684,260,5548,583,1628,15986
"06/12/2025 07:00",1230,1519,678,998,904,2154,639,280,6083,587,1689,16761
"06/12/2025 08:00",1171,1446,715,974,910,2279,580,289,6527,582,1702,17175
"06/12/2025 09:00",1125,1397,738,960,908,2380,530,296,6827,582,1711,17454
"06/12/2025 10:00",1116,1388,761,966,925,2496,508,312,7014,583,1733,17802
"06/12/2025 11:00",1143,1402,784,970,972,2656,507,327,7214,579,1754,18308
"06/12/2025 12:00",1175,1411,813,988,1031,2826,518,341,7367,579,1763,18812
