"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/03/2025 00:00",989,1309,483,858,786,1730,624,200,4315,552,1510,13356
"06/03/2025 01:00",956,1271,470,831,750,1626,600,186,4100,551,1473,12814
"06/03/2025 02:00",940,1245,452,811,726,1564,588,182,3952,546,1451,12457
"06/03/2025 03:00",934,1242,442,803,719,1535,587,177,3869,543,1440,12291
"06/03/2025 04:00",956,1265,439,815,726,1554,605,180,3872,548,1455,12415
"06/03/2025 05:00",993,1316,454,849,748,1611,642,193,4022,558,1500,12886
"06/03/2025 06:00",1037,1380,494,889,786,1709,663,214,4430,567,1567,13736
"06/03/2025 07:00",1017,1351,531,885,776,1809,605,227,4902,570,1615,14288
"06/03/2025 08:00",941,1235,545,842,718,1851,532,223,5249,563,1598,14297
"06/03/2025 09:00",865,1122,557,807,649,1827,481,217,5467,562,1583,14137
"06/03/2025 10:00",839,1104,565,799,637,1838,458,215,5585,569,1591,14200
"06/03/2025 11:00",844,1108,579,809,646,1864,433,219,5702,568,1612,14384
"06/03/2025 12:00",868,1106,584,834,663,1903,417,229,5803,565,1635,14607
"06/03/2025 13:00",897,1128,596,876,692,1992,402,236,5898,563,1666,14946
"06/03/2025 14:00",931,1155,619,892,743,2100,404,246,5986,565,1695,15336
"06/03/2025 15:00",989,1175,650,923,803,2264,418,262,6104,566,1729,15883
"06/03/2025 16:00",1106,1263,679,964,922,2462,474,283,6212,572,1785,16722
"06/03/2025 17:00",1260,1419,712,1054,1060,2648,550,311,6262,590,1863,17729
"06/03/2025 18:00",1378,1606,712,1170,1165,2705,678,325,6065,606,1946,18356
"06/03/2025 19:00",1429,1735,691,1254,1199,2654,792,320,5900,609,1961,18544
"06/03/2025 20:00",1427,1764,678,1257,1189,2558,850,315,5700,610,1943,18291
"06/03/2025 21:00",1375,1724,661,1217,1147,2438,829,299,5535,602,1916,17743
"06/03/2025 22:00",1260,1604,616,1128,1051,2235,761,273,5263,590,1827,16608
"06/03/2025 23:00",1151,1492,565,1046,948,2015,693,243,4939,581,1725,15398
"06/04/2025 00:00",1067,1393,536,978,862,1852,642,217,4571,568,1655,14341
"06/04/2025 01:00",1017,1335,517,931,812,1734,610,198,4345,562,1601,13662
"06/04/2025 02:00",989,1296,491,898,780,1662,589,190,4189,558,1565,13207
"06/04/2025 03:00",976,1282,474,883,766,1623,585,183,4104,555,1546,12977
"06/04/2025 04:00",994,1301,469,891,766,1635,599,185,4104,556,1553,13053
"06/04/2025 05:00",1029,1346,486,919,786,1694,637,199,4267,570,1591,13524
"06/04/2025 06:00",1081,1408,528,950,824,1802,663,222,4712,584,1651,14425
"06/04/2025 07:00",1078,1372,570,942,819,1921,608,238,5219,589,1713,15069
"06/04/2025 08:00",1029,1264,591,934,782,1981,534,238,5580,585,1728,15246
"06/04/2025 09:00",979,1186,610,948,743,1979,495,239,5813,582,1761,15335
"06/04/2025 10:00",975,1207,629,996,745,2017,482,241,5958,586,1804,15640
"06/04/2025 11:00",1009,1258,654,1057,790,2094,480,250,6112,588,1852,16144
"06/04/2025 12:00",1040,1343,674,1105,866,2172,499,274,6265,586,1904,16728
"06/04/2025 13:00",1119,1442,707,1164,966,2298,515,296,6402,588,1967,17464
"06/04/2025 14:00",1179,1519,740,1187,1055,2441,547,320,6529,596,2005,18118
"06/04/2025 15:00",1278,1580,782,1229,1154,2630,574,349,6685,602,2047,18910
"06/04/2025 16:00",1414,1683,815,1265,1289,2829,625,375,6808,613,2114,19830
"06/04/2025 17:00",1584,1826,844,1327,1414,2978,694,398,6841,626,2161,20693
"06/04/2025 18:00",1684,1977,837,1420,1501,3006,807,402,6668,637,2205,21144
"06/04/2025 19:00",1718,2041,809,1480,1497,2916,907,391,6449,640,2191,21039
"06/04/2025 20:00",1690,2029,794,1458,1448,2798,950,381,6295,638,2148,20629
"06/04/2025 21:00",1619,1964,777,1403,1368,2653,924,361,6165,629,2103,19966
"06/04/2025 22:00",1477,1822,726,1289,1242,2432,845,333,5910,610,1995,18681
"06/04/2025 23:00",1345,1687,666,1187,1117,2200,770,298,5565,594,1872,17301
"06/05/2025 00:00",1247,1589,619,1115,1021,1997,716,264,5150,589,1782,16089
"06/05/2025 01:00",1179,1521,599,1051,955,1871,680,244,4897,584,1712,15293
"06/05/2025 02:00",1139,1473,569,1007,908,1793,659,234,4717,579,1664,14742
"06/05/2025 03:00",1120,1457,550,984,884,1748,652,222,4607,575,1638,14437
"06/05/2025 04:00",1134,1470,540,986,874,1750,660,221,4599,578,1639,14451
