"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/19/2025 00:00",1293,1702,650,1146,1068,2236,789,293,5576,595,1827,17175
"06/19/2025 01:00",1253,1616,615,1086,1008,2096,752,280,5328,600,1756,16390
"06/19/2025 02:00",1212,1557,585,1046,961,2000,729,266,5152,591,1705,15804
"06/19/2025 03:00",1193,1553,567,1024,931,1937,710,256,5036,579,1671,15457
"06/19/2025 04:00",1210,1563,563,1023,923,1933,713,253,5026,582,1669,15458
"06/19/2025 05:00",1242,1612,581,1052,944,1986,750,259,5181,595,1700,15902
"06/19/2025 06:00",1291,1693,627,1111,966,2092,791,280,5587,603,1744,16785
"06/19/2025 07:00",1337,1764,686,1157,1005,2244,808,299,6081,602,1818,17801
"06/19/2025 08:00",1358,1820,733,1169,1037,2421,803,326,6520,604,1856,18647
"06/19/2025 09:00",1352,1821,782,1177,1070,2577,810,349,6867,611,1859,19275
"06/19/2025 10:00",1397,1837,829,1192,1123,2722,801,371,7141,627,1892,19932
"06/19/2025 11:00",1440,1807,874,1202,1194,2850,787,401,7411,627,1915,20508
"06/19/2025 12:00",1519,1788,920,1209,1279,2958,774,432,7648,630,1893,21050
"06/19/2025 13:00",1583,1770,957,1230,1351,3064,778,453,7822,644,1885,21537
"06/19/2025 14:00",1614,1839,985,1230,1458,3196,800,467,8018,631,1880,22118
"06/19/2025 15:00",1661,1827,1031,1246,1562,3374,830,494,8247,631,1875,22778
"06/19/2025 16:00",1700,1863,1070,1248,1617,3575,853,504,8411,630,1904,23375
"06/19/2025 17:00",1732,1870,1080,1240,1658,3715,888,497,8426,626,1917,23649
"06/19/2025 18:00",1738,1874,1048,1249,1646,3697,882,483,8072,636,1900,23225
"06/19/2025 19:00",1750,1919,1014,1260,1622,3573,914,465,7767,638,1894,22816
"06/19/2025 20:00",1725,1903,973,1248,1561,3405,940,438,7515,636,1875,22219
"06/19/2025 21:00",1665,1844,926,1227,1469,3259,911,405,7304,632,1840,21482
"06/19/2025 22:00",1527,1703,860,1140,1335,3015,843,368,6955,612,1755,20113
"06/19/2025 23:00",1385,1571,789,1053,1192,2735,770,332,6550,594,1672,18643
"06/20/2025 00:00",1306,1469,726,985,1086,2521,698,314,6171,589,1607,17472
"06/20/2025 01:00",1248,1406,674,938,1010,2337,660,289,5811,584,1547,16504
"06/20/2025 02:00",1204,1375,630,904,955,2205,634,267,5531,575,1504,15784
"06/20/2025 03:00",1183,1363,599,886,917,2109,620,253,5328,570,1481,15309
"06/20/2025 04:00",1188,1373,586,886,900,2072,624,245,5239,571,1488,15172
"06/20/2025 05:00",1214,1408,587,907,899,2088,652,249,5334,576,1518,15432
"06/20/2025 06:00",1247,1474,622,933,910,2164,692,264,5724,588,1565,16183
"06/20/2025 07:00",1246,1496,672,942,904,2280,685,274,6198,594,1637,16928
"06/20/2025 08:00",1198,1490,692,934,876,2378,659,278,6560,593,1675,17333
"06/20/2025 09:00",1134,1436,713,924,845,2452,616,286,6761,595,1686,17448
"06/20/2025 10:00",1123,1418,731,939,842,2542,579,297,6872,597,1703,17643
"06/20/2025 11:00",1147,1385,751,943,892,2651,549,318,6986,600,1730,17952
"06/20/2025 12:00",1192,1406,780,971,967,2768,524,338,7103,603,1760,18412
"06/20/2025 13:00",1227,1417,811,1020,1032,2940,524,357,7237,602,1802,18969
"06/20/2025 14:00",1256,1527,838,1064,1126,3105,539,374,7357,607,1836,19629
"06/20/2025 15:00",1319,1545,872,1110,1200,3285,570,393,7532,607,1878,20311
"06/20/2025 16:00",1415,1606,903,1155,1276,3461,626,401,7690,608,1932,21073
"06/20/2025 17:00",1517,1664,913,1184,1367,3570,688,403,7700,616,1960,21582
"06/20/2025 18:00",1573,1738,897,1236,1410,3559,749,402,7473,619,1969,21625
"06/20/2025 19:00",1593,1829,878,1280,1415,3431,831,387,7237,621,1970,21472
"06/20/2025 20:00",1572,1835,857,1273,1381,3275,878,375,7049,618,1931,21044
"06/20/2025 21:00",1526,1805,837,1253,1324,3135,867,361,6897,611,1897,20513
"06/20/2025 22:00",1414,1696,796,1176,1222,2915,812,335,6627,600,1813,19406
"06/20/2025 23:00",1303,1575,735,1086,1114,2650,747,305,6288,589,1713,18105
"06/21/2025 00:00",1241,1468,684,1012,1019,2415,679,292,5962,582,1677,17031
"06/21/2025 01:00",1182,1405,643,961,947,2232,642,271,5661,574,1616,16134
"06/21/2025 02:00",1142,1370,606,927,895,2101,620,255,5426,569,1574,15485
"06/21/2025 03:00",1126,1342,576,906,869,2016,609,243,5271,565,1551,15074
"06/21/2025 04:00",1119,1334,557,894,848,1974,606,235,5172,563,1543,14845
"06/21/2025 05:00",1115,1339,553,893,833,1942,607,233,5142,565,1535,14757
"06/21/2025 06:00",1109,1322,563,887,825,1964,596,233,5244,566,1529,14838
"06/21/2025 07:00",1125,1307,597,887,817,2081,571,250,5509,572,1568,15284
"06/21/2025 08:00",1151,1307,641,915,817,2239,556,270,5829,584,1607,15916
"06/21/2025 09:00",1174,1328,687,950,865,2379,549,292,6131,588,1670,16613
"06/21/2025 10:00",1216,1360,731,1015,940,2584,567,328,6399,596,1734,17470
"06/21/2025 11:00",1254,1412,768,1083,1016,2772,578,360,6571,600,1788,18202
"06/21/2025 12:00",1288,1470,804,1125,1098,2919,603,374,6688,603,1825,18797
"06/21/2025 13:00",1331,1517,839,1164,1178,3054,632,397,6781,602,1860,19355
"06/21/2025 14:00",1402,1566,878,1211,1261,3182,667,415,6891,606,1921,20000
"06/21/2025 15:00",1486,1647,912,1274,1345,3336,691,431,7039,617,1973,20751
"06/21/2025 16:00",1569,1752,950,1336,1424,3452,737,460,7176,622,2032,21510
"06/21/2025 17:00",1661,1855,966,1400,1500,3550,802,471,7294,633,2083,22215
"06/21/2025 18:00",1701,1939,956,1455,1549,3522,864,460,7259,638,2115,22458
"06/21/2025 19:00",1709,1989,929,1473,1538,3391,911,442,7098,637,2114,22231
"06/21/2025 20:00",1684,1970,904,1448,1487,3245,925,427,6970,635,2098,21793
"06/21/2025 21:00",1635,1939,884,1417,1421,3105,908,410,6935,630,2092,21376
"06/21/2025 22:00",1539,1844,848,1337,1322,2912,863,383,6783,618,2019,20468
"06/21/2025 23:00",1438,1717,796,1244,1223,2697,805,350,6529,605,1925,19329
"06/22/2025 00:00",1359,1608,745,1166,1134,2490,739,329,6208,600,1873,18251
"06/22/2025 01:00",1306,1538,707,1106,1061,2319,700,308,5931,590,1802,17368
"06/22/2025 02:00",1267,1495,669,1062,1004,2192,676,292,5719,585,1748,16709
"06/22/2025 03:00",1244,1462,639,1033,974,2106,659,278,5578,581,1710,16264
"06/22/2025 04:00",1231,1440,618,1014,947,2065,650,267,5488,580,1691,15991
"06/22/2025 05:00",1221,1431,611,1004,928,2035,647,264,5453,579,1664,15837
"06/22/2025 06:00",1211,1428,616,986,922,2045,631,262,5502,581,1637,15821
"06/22/2025 07:00",1231,1431,634,976,933,2139,611,276,5673,584,1658,16146
"06/22/2025 08:00",1282,1461,675,999,976,2315,618,301,5955,591,1684,16857
"06/22/2025 09:00",1327,1505,719,1042,1039,2483,624,328,6268,608,1743,17686
"06/22/2025 10:00",1377,1570,768,1129,1116,2705,640,369,6603,620,1811,18708
"06/22/2025 11:00",1429,1650,814,1223,1198,2894,649,404,6881,625,1885,19652
"06/22/2025 12:00",1470,1731,856,1295,1295,3032,674,417,7100,629,1948,20447
"06/22/2025 13:00",1514,1780,895,1354,1381,3166,695,440,7290,625,1989,21129
"06/22/2025 14:00",1559,1807,932,1378,1474,3293,714,458,7443,624,2040,21722
"06/22/2025 15:00",1627,1869,970,1413,1557,3446,722,479,7620,629,2088,22420
"06/22/2025 16:00",1715,1980,1019,1477,1648,3590,760,513,7814,642,2170,23328
"06/22/2025 17:00",1832,2103,1049,1571,1740,3741,836,532,8026,653,2249,24332
"06/22/2025 18:00",1906,2215,1056,1661,1796,3771,911,524,8087,661,2304,24892
"06/22/2025 19:00",1931,2314,1035,1705,1788,3670,986,506,7980,664,2319,24898
"06/22/2025 20:00",1915,2306,1021,1687,1722,3543,1020,493,7907,663,2283,24560
"06/22/2025 21:00",1853,2259,997,1643,1635,3407,1002,472,7874,658,2263,24063
"06/22/2025 22:00",1720,2124,942,1537,1498,3163,930,436,7660,641,2170,22821
"06/22/2025 23:00",1587,1967,871,1420,1365,2883,860,394,7318,628,2064,21357
"06/23/2025 00:00",1494,1837,797,1304,1242,2626,793,370,6873,613,1989,19938
"06/23/2025 01:00",1429,1748,749,1229,1155,2446,749,344,6587,604,1911,18951
"06/23/2025 02:00",1380,1700,709,1176,1094,2330,720,321,6362,596,1852,18240
"06/23/2025 03:00",1357,1677,685,1143,1055,2263,708,304,6214,596,1820,17822
"06/23/2025 04:00",1361,1684,681,1141,1039,2260,711,297,6195,594,1822,17785
"06/23/2025 05:00",1390,1710,692,1163,1042,2317,729,300,6337,600,1851,18131
"06/23/2025 06:00",1443,1757,738,1189,1075,2441,745,318,6730,613,1885,18934
"06/23/2025 07:00",1495,1813,805,1223,1125,2668,738,343,7288,624,1975,20097
"06/23/2025 08:00",1532,1874,855,1287,1178,2935,736,368,7825,629,2065,21284
"06/23/2025 09:00",1546,1905,908,1370,1238,3173,730,399,8233,637,2142,22281
"06/23/2025 10:00",1598,1992,963,1445,1320,3406,736,437,8553,644,2243,23337
"06/23/2025 11:00",1679,2026,1015,1521,1427,3640,736,481,8829,653,2343,24350
"06/23/2025 12:00",1765,2096,1073,1598,1555,3866,739,517,9099,659,2415,25382
"06/23/2025 13:00",1822,2150,1121,1672,1672,4084,779,543,9328,664,2485,26320
"06/23/2025 14:00",1865,2240,1155,1705,1777,4271,813,563,9501,664,2541,27095
"06/23/2025 15:00",1970,2279,1201,1739,1863,4481,834,588,9778,668,2576,27977
"06/23/2025 16:00",2078,2366,1246,1787,1941,4639,871,601,9970,666,2632,28797
"06/23/2025 17:00",2190,2467,1269,1824,2023,4754,955,599,10015,671,2683,29450
"06/23/2025 18:00",2249,2584,1247,1910,2067,4715,1024,593,9735,686,2682,29492
"06/23/2025 19:00",2286,2693,1220,1958,2055,4518,1128,577,9442,694,2664,29235
"06/23/2025 20:00",2263,2667,1180,1937,1978,4243,1188,552,9188,691,2587,28474
"06/23/2025 21:00",2167,2567,1127,1873,1857,3962,1155,516,8961,687,2514,27386
"06/23/2025 22:00",1989,2371,1049,1736,1685,3606,1065,474,8528,671,2396,25570
"06/23/2025 23:00",1824,2191,960,1591,1523,3233,975,428,7986,655,2249,23615
"06/24/2025 00:00",1704,1999,888,1433,1360,2919,892,406,7487,642,2120,21850
"06/24/2025 01:00",1623,1885,834,1339,1259,2707,837,376,7121,628,2012,20621
"06/24/2025 02:00",1558,1824,785,1273,1187,2563,801,352,6841,622,1933,19739
"06/24/2025 03:00",1526,1791,754,1231,1140,2473,784,332,6647,622,1885,19185
"06/24/2025 04:00",1521,1786,742,1217,1116,2455,779,321,6592,623,1873,19025
"06/24/2025 05:00",1542,1805,747,1231,1112,2502,795,324,6713,624,1889,19284
"06/24/2025 06:00",1570,1849,792,1252,1133,2615,801,341,7117,629,1913,20012
"06/24/2025 07:00",1592,1904,860,1278,1176,2858,774,366,7680,636,1997,21121
"06/24/2025 08:00",1607,1963,915,1330,1229,3151,755,392,8216,638,2076,22272
"06/24/2025 09:00",1614,1996,970,1407,1284,3409,740,425,8605,648,2149,23247
"06/24/2025 10:00",1674,2082,1026,1482,1367,3659,742,465,8921,661,2246,24325
"06/24/2025 11:00",1762,2124,1081,1547,1472,3898,758,513,9183,670,2334,25342
"06/24/2025 12:00",1849,2191,1139,1616,1592,4098,773,549,9433,670,2401,26311
"06/24/2025 13:00",1905,2234,1182,1691,1697,4298,817,572,9663,674,2472,27205
"06/24/2025 14:00",1949,2321,1210,1735,1796,4471,866,586,9834,679,2534,27981
"06/24/2025 15:00",2054,2363,1247,1784,1885,4673,898,607,10096,682,2584,28873
"06/24/2025 16:00",2168,2459,1288,1828,1974,4843,953,617,10295,681,2655,29761
"06/24/2025 17:00",2285,2559,1311,1861,2069,4985,1042,615,10379,683,2691,30480
"06/24/2025 18:00",2344,2649,1293,1943,2115,4993,1103,609,10142,696,2681,30568
"06/24/2025 19:00",2375,2743,1268,1974,2097,4834,1185,594,9827,706,2656,30259
"06/24/2025 20:00",2344,2715,1234,1944,2025,4608,1225,569,9597,700,2584,29545
"06/24/2025 21:00",2244,2619,1184,1882,1908,4351,1185,535,9408,696,2518,28530
"06/24/2025 22:00",2068,2429,1108,1749,1741,4001,1096,493,8996,680,2408,26769
"06/24/2025 23:00",1909,2252,1023,1611,1585,3638,1007,450,8490,665,2266,24896
