"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/25/2025 00:00",1715,1971,1022,1370,1442,3227,887,426,8252,577,1921,22810
"06/25/2025 01:00",1634,1860,969,1283,1338,2996,836,397,7882,572,1837,21604
"06/25/2025 02:00",1568,1798,918,1220,1267,2824,804,371,7590,569,1770,20699
"06/25/2025 03:00",1533,1755,878,1177,1213,2712,788,353,7366,565,1727,20067
"06/25/2025 04:00",1531,1756,858,1161,1189,2664,785,343,7277,566,1714,19844
"06/25/2025 05:00",1553,1790,860,1172,1187,2674,806,347,7378,568,1732,20067
"06/25/2025 06:00",1607,1860,893,1211,1220,2778,834,366,7799,575,1781,20924
"06/25/2025 07:00",1650,1933,972,1270,1266,3015,838,393,8356,580,1855,22128
"06/25/2025 08:00",1672,1955,1029,1306,1322,3307,814,416,8875,579,1916,23191
"06/25/2025 09:00",1697,1934,1077,1335,1372,3536,785,444,9278,580,1963,24001
"06/25/2025 10:00",1733,1946,1123,1347,1452,3771,755,481,9572,581,2004,24765
"06/25/2025 11:00",1779,1940,1171,1367,1554,4011,737,515,9781,584,2053,25492
"06/25/2025 12:00",1803,1957,1217,1391,1668,4221,722,548,9946,583,2094,26150
"06/25/2025 13:00",1833,1969,1242,1423,1767,4432,728,568,10060,587,2141,26750
"06/25/2025 14:00",1848,1983,1253,1451,1840,4599,750,578,10119,590,2177,27188
"06/25/2025 15:00",1856,2038,1281,1473,1879,4734,766,587,10194,591,2204,27603
"06/25/2025 16:00",1889,2086,1293,1493,1929,4815,823,592,10233,600,2235,27988
"06/25/2025 17:00",1964,2147,1293,1498,1976,4861,888,593,10220,611,2245,28296
"06/25/2025 18:00",1995,2216,1264,1525,1971,4759,957,583,9949,622,2217,28058
"06/25/2025 19:00",1985,2258,1227,1519,1930,4576,1029,566,9664,631,2187,27572
"06/25/2025 20:00",1921,2220,1180,1471,1850,4361,1047,536,9437,626,2126,26775
"06/25/2025 21:00",1841,2144,1126,1427,1750,4117,1019,504,9218,616,2080,25842
"06/25/2025 22:00",1702,1998,1054,1328,1603,3778,938,462,8814,596,1979,24252
"06/25/2025 23:00",1565,1851,976,1220,1454,3425,861,419,8316,585,1875,22547
"06/26/2025 00:00",1440,1695,900,1119,1289,3028,787,378,7737,579,1781,20733
"06/26/2025 01:00",1367,1604,849,1055,1193,2813,740,353,7385,570,1705,19634
"06/26/2025 02:00",1310,1552,802,1012,1126,2647,710,331,7094,565,1651,18800
"06/26/2025 03:00",1280,1525,764,988,1076,2532,694,312,6862,562,1618,18213
"06/26/2025 04:00",1280,1531,745,988,1050,2477,695,303,6753,563,1620,18005
"06/26/2025 05:00",1301,1575,747,1011,1048,2482,717,305,6836,569,1649,18240
"06/26/2025 06:00",1344,1646,776,1058,1087,2572,737,321,7223,580,1702,19046
"06/26/2025 07:00",1377,1708,834,1108,1148,2723,732,338,7624,582,1776,19950
"06/26/2025 08:00",1381,1717,858,1134,1197,2865,713,351,7901,584,1833,20534
"06/26/2025 09:00",1380,1705,872,1153,1213,2946,691,362,8074,585,1879,20860
"06/26/2025 10:00",1385,1729,874,1163,1236,3017,686,371,8123,588,1905,21077
"06/26/2025 11:00",1387,1720,875,1177,1244,3050,682,378,8107,589,1926,21135
"06/26/2025 12:00",1382,1735,879,1178,1270,3085,689,387,8068,591,1945,21209
"06/26/2025 13:00",1399,1754,873,1202,1309,3125,703,394,7998,593,1976,21326
"06/26/2025 14:00",1414,1767,870,1224,1327,3153,722,397,7916,595,1996,21381
"06/26/2025 15:00",1435,1822,880,1246,1342,3182,732,401,7883,598,2001,21522
"06/26/2025 16:00",1478,1860,888,1263,1361,3193,775,404,7833,604,2012,21671
"06/26/2025 17:00",1538,1918,886,1269,1392,3201,812,410,7737,613,2022,21798
"06/26/2025 18:00",1554,1962,863,1296,1386,3115,849,405,7413,618,2003,21464
"06/26/2025 19:00",1561,1995,835,1290,1369,3004,890,393,7149,619,1979,21084
"06/26/2025 20:00",1544,1969,805,1265,1323,2896,898,373,6931,615,1944,20563
"06/26/2025 21:00",1503,1927,775,1244,1274,2782,885,357,6762,611,1917,20037
"06/26/2025 22:00",1412,1820,729,1173,1184,2594,824,328,6483,596,1840,18983
"06/26/2025 23:00",1319,1698,680,1094,1085,2384,765,296,6142,582,1764,17809
"06/27/2025 00:00",1233,1579,641,1023,995,2194,707,271,5771,577,1699,16690
"06/27/2025 01:00",1187,1507,612,977,937,2062,670,257,5533,571,1640,15953
"06/27/2025 02:00",1152,1467,584,947,900,1966,648,244,5351,563,1594,15416
"06/27/2025 03:00",1139,1445,565,933,877,1911,635,234,5210,559,1572,15080
"06/27/2025 04:00",1153,1453,558,939,872,1905,640,232,5179,561,1583,15075
"06/27/2025 05:00",1185,1495,573,969,890,1957,669,238,5321,569,1621,15487
"06/27/2025 06:00",1240,1578,611,1025,937,2072,712,261,5717,582,1674,16409
"06/27/2025 07:00",1289,1651,664,1092,996,2218,737,282,6126,591,1769,17415
"06/27/2025 08:00",1301,1668,692,1130,1033,2350,731,299,6426,593,1859,18082
"06/27/2025 09:00",1298,1654,706,1175,1038,2426,718,311,6609,596,1947,18478
"06/27/2025 10:00",1300,1668,712,1215,1047,2494,708,315,6673,598,2012,18742
"06/27/2025 11:00",1292,1668,712,1256,1048,2535,698,316,6687,601,2065,18878
"06/27/2025 12:00",1278,1675,714,1293,1058,2578,697,320,6691,599,2125,19028
"06/27/2025 13:00",1282,1706,709,1338,1072,2626,706,323,6679,598,2180,19219
"06/27/2025 14:00",1291,1735,700,1374,1090,2657,723,323,6640,602,2211,19346
"06/27/2025 15:00",1314,1796,712,1407,1108,2700,738,329,6634,604,2230,19572
"06/27/2025 16:00",1352,1840,720,1438,1149,2733,780,339,6640,607,2249,19847
"06/27/2025 17:00",1405,1881,726,1448,1193,2768,808,349,6618,610,2266,20072
"06/27/2025 18:00",1431,1926,708,1486,1202,2726,836,345,6378,612,2249,19899
"06/27/2025 19:00",1452,1964,694,1481,1205,2657,876,336,6201,613,2216,19695
"06/27/2025 20:00",1447,1943,676,1450,1187,2606,879,320,6061,609,2163,19341
"06/27/2025 21:00",1422,1900,662,1418,1158,2530,863,310,5950,604,2128,18945
"06/27/2025 22:00",1353,1806,636,1338,1091,2399,813,292,5752,592,2042,18114
"06/27/2025 23:00",1276,1694,601,1242,1014,2244,758,270,5514,580,1962,17155
"06/28/2025 00:00",1191,1585,578,1172,937,2077,716,254,5282,583,1890,16265
"06/28/2025 01:00",1141,1516,552,1109,886,1961,681,241,5099,575,1808,15569
"06/28/2025 02:00",1105,1469,529,1063,851,1877,654,230,4951,569,1751,15049
"06/28/2025 03:00",1092,1441,513,1034,834,1826,640,221,4864,565,1714,14744
"06/28/2025 04:00",1089,1434,507,1021,825,1816,637,218,4821,564,1700,14632
"06/28/2025 05:00",1095,1445,510,1025,830,1820,644,219,4833,568,1690,14679
"06/28/2025 06:00",1109,1466,524,1041,849,1867,658,225,4949,572,1689,14949
"06/28/2025 07:00",1138,1505,556,1076,877,1984,675,243,5172,584,1735,15545
"06/28/2025 08:00",1182,1551,594,1118,915,2158,689,266,5427,596,1797,16293
"06/28/2025 09:00",1203,1588,628,1137,960,2297,695,285,5691,599,1861,16944
"06/28/2025 10:00",1216,1603,655,1182,985,2443,697,305,5934,600,1931,17551
"06/28/2025 11:00",1218,1628,671,1247,1009,2578,685,320,6120,602,1981,18059
"06/28/2025 12:00",1223,1679,698,1278,1043,2719,687,328,6262,604,2016,18537
"06/28/2025 13:00",1243,1712,719,1292,1080,2836,690,341,6333,603,2031,18880
"06/28/2025 14:00",1274,1723,729,1306,1116,2920,697,348,6387,605,2049,19154
"06/28/2025 15:00",1310,1781,746,1333,1159,2976,711,356,6473,611,2087,19543
"06/28/2025 16:00",1373,1846,767,1366,1211,3041,748,365,6541,615,2114,19987
"06/28/2025 17:00",1437,1909,782,1388,1254,3105,791,368,6591,622,2126,20373
"06/28/2025 18:00",1474,1973,776,1415,1287,3069,839,369,6542,630,2129,20503
"06/28/2025 19:00",1498,1996,775,1424,1300,2982,879,366,6450,633,2113,20416
"06/28/2025 20:00",1503,1973,768,1398,1284,2895,888,359,6395,631,2083,20177
"06/28/2025 21:00",1481,1930,756,1364,1260,2801,881,349,6353,628,2050,19853
"06/28/2025 22:00",1408,1830,731,1284,1195,2661,837,327,6206,614,1974,19067
"06/28/2025 23:00",1325,1709,692,1193,1115,2493,780,305,5999,602,1871,18084
"06/29/2025 00:00",1236,1596,665,1114,1029,2352,714,286,5758,587,1796,17133
"06/29/2025 01:00",1178,1514,629,1049,956,2196,672,268,5529,579,1714,16284
"06/29/2025 02:00",1135,1455,596,1003,902,2075,644,250,5343,574,1656,15633
"06/29/2025 03:00",1111,1424,571,972,867,1993,628,234,5213,569,1615,15197
"06/29/2025 04:00",1097,1399,554,955,842,1958,618,227,5128,570,1599,14947
"06/29/2025 05:00",1086,1389,546,944,829,1932,613,220,5089,569,1575,14792
"06/29/2025 06:00",1081,1381,549,928,819,1940,600,222,5142,573,1556,14791
"06/29/2025 07:00",1098,1377,567,922,826,2029,583,236,5318,575,1581,15112
"06/29/2025 08:00",1129,1382,591,923,826,2180,566,254,5555,590,1616,15612
"06/29/2025 09:00",1129,1371,620,910,865,2326,527,274,5812,588,1684,16106
"06/29/2025 10:00",1124,1346,651,943,890,2487,479,302,6074,583,1768,16647
"06/29/2025 11:00",1123,1336,669,994,924,2634,421,320,6306,580,1841,17148
"06/29/2025 12:00",1136,1366,693,1032,1003,2787,406,334,6484,579,1902,17722
"06/29/2025 13:00",1164,1396,721,1076,1088,2922,398,350,6634,572,1953,18274
"06/29/2025 14:00",1205,1412,743,1117,1148,3038,402,358,6765,574,2005,18767
"06/29/2025 15:00",1264,1518,781,1182,1212,3138,444,375,6912,584,2073,19483
"06/29/2025 16:00",1385,1653,824,1274,1288,3234,538,400,7021,596,2148,20361
"06/29/2025 17:00",1516,1804,850,1372,1358,3337,643,411,7119,614,2210,21234
