"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/28/2025 00:00",1151,1474,569,1106,923,2098,710,232,5220,566,1878,15927
"06/28/2025 01:00",1106,1419,546,1052,877,1989,678,222,5053,559,1804,15305
"06/28/2025 02:00",1073,1382,527,1014,846,1913,656,213,4926,552,1750,14852
"06/28/2025 03:00",1060,1357,513,990,832,1868,643,206,4860,547,1715,14591
"06/28/2025 04:00",1059,1361,507,981,825,1862,641,207,4841,547,1701,14532
"06/28/2025 05:00",1065,1372,512,985,831,1877,649,207,4883,551,1693,14625
"06/28/2025 06:00",1073,1382,524,1001,849,1939,666,214,5030,557,1692,14927
"06/28/2025 07:00",1085,1397,555,1032,879,2083,681,228,5294,570,1732,15536
"06/28/2025 08:00",1102,1416,594,1066,914,2288,694,249,5590,580,1781,16274
"06/28/2025 09:00",1106,1436,628,1075,942,2459,697,264,5859,584,1826,16876
"06/28/2025 10:00",1112,1437,659,1095,948,2617,699,285,6116,584,1871,17423
"06/28/2025 11:00",1121,1470,680,1134,972,2750,688,297,6328,585,1904,17929
"06/28/2025 12:00",1142,1527,704,1145,1011,2866,679,301,6489,586,1930,18380
"06/28/2025 13:00",1186,1562,726,1155,1061,2993,669,314,6583,582,1940,18771
"06/28/2025 14:00",1230,1587,751,1171,1113,3099,646,326,6687,582,1953,19145
"06/28/2025 15:00",1278,1640,786,1199,1178,3168,639,352,6814,588,1975,19617
"06/28/2025 16:00",1370,1690,823,1219,1264,3242,670,374,6920,591,1991,20154
"06/28/2025 17:00",1466,1756,853,1242,1363,3339,726,386,7036,597,2003,20767
"06/28/2025 18:00",1523,1826,856,1282,1426,3347,796,390,7057,608,2007,21118
"06/28/2025 19:00",1550,1865,844,1308,1431,3275,867,383,6959,617,1994,21093
"06/28/2025 20:00",1550,1854,835,1289,1408,3184,890,375,6895,618,1960,20858
"06/28/2025 21:00",1519,1816,826,1258,1371,3101,881,366,6870,616,1929,20553
"06/28/2025 22:00",1433,1716,799,1184,1293,2951,835,343,6725,601,1857,19737
"06/28/2025 23:00",1338,1602,758,1100,1203,2762,775,319,6505,588,1762,18712
"06/29/2025 00:00",1245,1495,725,1021,1109,2563,712,300,6264,580,1686,17700
"06/29/2025 01:00",1180,1424,686,961,1031,2410,671,282,6013,573,1613,16844
"06/29/2025 02:00",1131,1372,651,917,971,2293,639,263,5801,567,1562,16167
"06/29/2025 03:00",1104,1342,622,888,930,2213,619,247,5643,561,1527,15696
"06/29/2025 04:00",1084,1323,602,872,899,2169,609,239,5527,563,1514,15401
"06/29/2025 05:00",1061,1308,590,859,876,2127,604,230,5449,563,1492,15159
"06/29/2025 06:00",1035,1284,587,832,851,2117,584,228,5453,565,1472,15008
"06/29/2025 07:00",1022,1251,604,806,835,2206,563,238,5577,567,1486,15155
"06/29/2025 08:00",1030,1221,629,797,822,2346,540,254,5761,577,1507,15484
"06/29/2025 09:00",1031,1204,651,788,830,2466,525,271,5953,583,1536,15838
"06/29/2025 10:00",1026,1202,683,827,838,2609,512,298,6188,587,1597,16367
"06/29/2025 11:00",1037,1231,706,895,872,2745,495,317,6365,592,1667,16922
"06/29/2025 12:00",1061,1279,727,935,935,2882,510,328,6457,593,1725,17432
"06/29/2025 13:00",1110,1338,756,987,1007,3016,512,344,6535,589,1774,17968
"06/29/2025 14:00",1160,1385,784,1030,1101,3180,523,360,6685,590,1835,18633
"06/29/2025 15:00",1221,1478,821,1083,1213,3379,541,384,6874,598,1909,19501
"06/29/2025 16:00",1331,1590,867,1153,1317,3573,589,411,7019,605,1992,20447
"06/29/2025 17:00",1444,1709,895,1244,1421,3743,654,424,7166,617,2072,21389
"06/29/2025 18:00",1533,1833,902,1343,1487,3769,741,423,7205,625,2120,21981
"06/29/2025 19:00",1588,1920,886,1413,1487,3631,845,412,7101,635,2129,22047
"06/29/2025 20:00",1602,1935,874,1409,1439,3497,902,401,7074,637,2082,21852
"06/29/2025 21:00",1565,1913,862,1389,1381,3386,896,388,7091,630,2060,21561
"06/29/2025 22:00",1450,1798,819,1301,1270,3151,832,356,6926,613,1979,20495
"06/29/2025 23:00",1335,1671,764,1197,1155,2871,766,322,6631,601,1870,19183
"06/30/2025 00:00",1271,1574,721,1100,1068,2633,711,300,6404,598,1790,18170
"06/30/2025 01:00",1212,1507,682,1045,1005,2461,678,276,6180,591,1735,17372
"06/30/2025 02:00",1176,1462,648,1008,963,2335,651,259,5986,586,1691,16765
"06/30/2025 03:00",1159,1441,625,989,936,2260,640,247,5857,584,1671,16409
"06/30/2025 04:00",1167,1454,619,997,925,2243,648,243,5843,585,1678,16402
"06/30/2025 05:00",1193,1509,633,1033,936,2267,673,249,5988,596,1713,16790
"06/30/2025 06:00",1243,1573,675,1069,953,2360,687,265,6382,609,1762,17578
"06/30/2025 07:00",1307,1629,735,1139,1007,2535,688,289,6875,620,1859,18683
"06/30/2025 08:00",1311,1618,779,1206,1036,2713,642,311,7288,624,1961,19489
"06/30/2025 09:00",1314,1621,805,1238,1071,2848,601,330,7579,627,2047,20081
"06/30/2025 10:00",1336,1661,837,1277,1115,2997,581,352,7756,628,2124,20664
"06/30/2025 11:00",1382,1689,870,1336,1165,3166,575,375,7936,633,2209,21336
"06/30/2025 12:00",1437,1749,904,1387,1243,3348,604,401,8118,637,2291,22119
"06/30/2025 13:00",1523,1835,937,1443,1330,3550,663,423,8254,642,2375,22975
"06/30/2025 14:00",1593,1951,961,1525,1400,3709,713,441,8370,645,2402,23710
"06/30/2025 15:00",1676,2069,995,1598,1498,3880,772,464,8484,652,2397,24485
"06/30/2025 16:00",1772,2153,1025,1624,1598,3999,842,484,8553,657,2389,25096
"06/30/2025 17:00",1878,2221,1046,1656,1671,4069,921,495,8547,668,2393,25565
"06/30/2025 18:00",1950,2267,1026,1664,1705,3991,984,496,8273,679,2373,25408
"06/30/2025 19:00",1984,2289,1004,1655,1712,3815,1034,486,8062,687,2341,25069
"06/30/2025 20:00",1978,2272,982,1626,1682,3648,1072,471,7888,687,2295,24601
"06/30/2025 21:00",1907,2192,955,1577,1603,3494,1043,449,7783,682,2263,23948
"06/30/2025 22:00",1761,2041,902,1466,1462,3235,963,415,7489,666,2164,22564
"06/30/2025 23:00",1624,1903,839,1353,1327,2952,884,377,7084,650,2046,21039
"07/01/2025 00:00",1526,1809,787,1258,1228,2723,826,342,6747,636,1925,19807
"07/01/2025 01:00",1459,1729,751,1194,1162,2567,791,320,6497,625,1860,18955
"07/01/2025 02:00",1410,1673,720,1147,1111,2452,761,305,6305,619,1804,18307
"07/01/2025 03:00",1383,1641,700,1117,1077,2383,747,294,6185,616,1772,17915
"07/01/2025 04:00",1381,1646,695,1114,1062,2374,747,292,6185,616,1767,17879
"07/01/2025 05:00",1412,1696,714,1142,1076,2429,772,301,6371,623,1798,18334
"07/01/2025 06:00",1467,1791,765,1194,1117,2559,821,322,6844,638,1852,19370
"07/01/2025 07:00",1534,1892,830,1280,1197,2783,868,347,7381,651,1945,20708
"07/01/2025 08:00",1572,1935,876,1333,1273,2993,887,368,7809,658,2010,21714
