"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/05/2025 00:00",1223,1576,616,1110,1015,2005,723,249,5209,567,1748,16041
"06/05/2025 01:00",1155,1507,582,1046,948,1876,689,229,4949,563,1686,15230
"06/05/2025 02:00",1113,1460,549,1004,900,1792,668,221,4764,557,1640,14668
"06/05/2025 03:00",1095,1443,530,981,876,1743,660,213,4644,555,1614,14354
"06/05/2025 04:00",1109,1461,526,984,867,1743,667,211,4623,556,1614,14361
"06/05/2025 05:00",1149,1508,547,1017,884,1803,705,223,4791,564,1655,14846
"06/05/2025 06:00",1208,1608,599,1064,927,1916,740,245,5237,577,1722,15843
"06/05/2025 07:00",1232,1633,656,1092,957,2052,710,267,5757,585,1789,16730
"06/05/2025 08:00",1226,1607,695,1088,958,2164,684,275,6166,584,1810,17257
"06/05/2025 09:00",1230,1585,730,1098,975,2226,673,290,6459,588,1832,17686
"06/05/2025 10:00",1260,1632,771,1124,1048,2313,674,311,6677,599,1871,18280
"06/05/2025 11:00",1340,1689,820,1155,1146,2451,705,339,6906,596,1900,19047
"06/05/2025 12:00",1429,1742,862,1189,1247,2609,726,374,7110,596,1917,19801
"06/05/2025 13:00",1528,1799,905,1213,1366,2774,740,401,7292,601,1930,20549
"06/05/2025 14:00",1570,1823,947,1222,1437,2908,762,429,7465,600,1929,21092
"06/05/2025 15:00",1610,1835,992,1239,1491,3055,768,445,7629,604,1924,21592
"06/05/2025 16:00",1674,1879,1025,1254,1560,3172,798,463,7740,610,1923,22098
"06/05/2025 17:00",1782,1931,1046,1273,1625,3262,838,468,7766,612,1922,22525
"06/05/2025 18:00",1824,1985,1036,1270,1654,3249,884,460,7539,617,1918,22436
"06/05/2025 19:00",1832,1997,988,1277,1629,3137,923,448,7298,619,1914,22062
"06/05/2025 20:00",1803,1969,954,1254,1582,3020,935,432,7127,615,1891,21582
"06/05/2025 21:00",1715,1893,913,1218,1493,2868,907,405,6961,603,1863,20839
"06/05/2025 22:00",1563,1756,843,1129,1356,2637,834,372,6647,586,1779,19502
"06/05/2025 23:00",1426,1627,771,1052,1223,2393,758,333,6258,574,1684,18099
"06/06/2025 00:00",1334,1541,704,992,1116,2184,703,298,5847,567,1634,16920
"06/06/2025 01:00",1263,1477,661,945,1040,2034,669,271,5541,563,1585,16049
"06/06/2025 02:00",1217,1442,621,914,983,1936,643,260,5311,554,1547,15428
