"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/09/2025 00:00",1109,1377,545,909,876,1854,658,229,4839,540,1578,14514
"06/09/2025 01:00",1065,1339,517,879,830,1750,636,217,4651,536,1544,13964
"06/09/2025 02:00",1041,1315,496,860,800,1691,621,207,4517,532,1522,13602
"06/09/2025 03:00",1033,1308,482,853,785,1658,612,203,4441,528,1507,13410
"06/09/2025 04:00",1046,1335,484,867,786,1674,626,203,4463,529,1520,13533
"06/09/2025 05:00",1096,1399,505,908,814,1747,665,213,4657,540,1569,14113
"06/09/2025 06:00",1163,1515,558,973,875,1866,716,239,5069,556,1640,15170
"06/09/2025 07:00",1197,1561,605,1020,924,1974,719,259,5499,565,1712,16035
"06/09/2025 08:00",1172,1544,621,1018,939,2049,711,266,5792,563,1738,16413
"06/09/2025 09:00",1154,1527,633,1017,939,2090,687,272,5972,563,1759,16613
"06/09/2025 10:00",1158,1526,636,1041,947,2140,670,275,6057,566,1792,16808
"06/09/2025 11:00",1179,1523,643,1043,953,2177,669,276,6147,568,1825,17003
"06/09/2025 12:00",1186,1508,647,1054,952,2198,667,273,6204,570,1848,17107
"06/09/2025 13:00",1205,1521,649,1093,974,2239,665,272,6237,571,1876,17302
"06/09/2025 14:00",1215,1518,651,1141,988,2286,664,281,6249,574,1887,17454
"06/09/2025 15:00",1236,1521,672,1168,1018,2333,660,287,6271,575,1877,17618
"06/09/2025 16:00",1278,1561,685,1204,1054,2386,678,300,6310,583,1883,17922
"06/09/2025 17:00",1335,1631,698,1238,1097,2440,713,309,6276,591,1902,18230
"06/09/2025 18:00",1373,1708,692,1245,1121,2444,768,317,6061,597,1897,18223
"06/09/2025 19:00",1398,1756,681,1250,1122,2418,813,315,5917,604,1886,18160
"06/09/2025 20:00",1407,1753,667,1228,1126,2411,840,305,5802,603,1861,18003
"06/09/2025 21:00",1362,1707,648,1197,1092,2331,824,295,5647,594,1843,17540
"06/09/2025 22:00",1267,1602,613,1114,1008,2170,768,274,5365,579,1766,16526
"06/09/2025 23:00",1181,1499,564,1036,927,1989,712,243,5027,565,1680,15423
"06/10/2025 00:00",1127,1445,524,986,855,1823,669,225,4761,561,1631,14607
"06/10/2025 01:00",1090,1399,499,947,817,1724,643,213,4580,557,1588,14057
"06/10/2025 02:00",1068,1368,481,919,792,1668,626,207,4458,554,1556,13697
"06/10/2025 03:00",1061,1359,471,904,782,1642,620,205,4395,551,1532,13522
"06/10/2025 04:00",1077,1383,474,911,788,1666,634,207,4424,555,1540,13659
"06/10/2025 05:00",1132,1443,498,942,822,1746,678,219,4630,565,1584,14259
"06/10/2025 06:00",1210,1560,559,986,894,1880,747,247,5097,581,1646,15407
"06/10/2025 07:00",1263,1608,610,1007,945,1992,767,268,5564,592,1702,16318
"06/10/2025 08:00",1253,1568,629,978,961,2072,748,274,5890,591,1712,16676
"06/10/2025 09:00",1236,1499,643,955,960,2120,700,279,6103,589,1706,16790
"06/10/2025 10:00",1241,1464,652,959,975,2188,657,281,6241,593,1717,16968
"06/10/2025 11:00",1256,1442,670,950,989,2273,624,288,6404,591,1715,17202
"06/10/2025 12:00",1267,1403,687,948,1001,2356,594,290,6520,587,1687,17340
"06/10/2025 13:00",1280,1395,700,951,1036,2467,574,295,6612,585,1674,17569
"06/10/2025 14:00",1275,1385,708,943,1049,2544,556,307,6653,589,1672,17681
"06/10/2025 15:00",1284,1394,728,929,1065,2604,540,311,6701,591,1667,17814
"06/10/2025 16:00",1322,1449,743,936,1102,2663,552,324,6766,594,1698,18149
"06/10/2025 17:00",1378,1526,763,976,1159,2715,596,337,6777,601,1763,18591
"06/10/2025 18:00",1427,1632,758,1068,1196,2709,688,347,6568,609,1823,18825
"06/10/2025 19:00",1460,1726,751,1147,1211,2680,775,347,6438,610,1840,18985
"06/10/2025 20:00",1462,1728,740,1154,1208,2654,829,339,6298,608,1818,18838
"06/10/2025 21:00",1415,1686,723,1127,1173,2572,815,329,6165,599,1808,18412
"06/10/2025 22:00",1309,1578,680,1047,1079,2392,754,305,5873,584,1734,17335
"06/10/2025 23:00",1207,1461,625,967,980,2179,691,272,5495,576,1643,16096
"06/11/2025 00:00",1143,1397,584,927,906,2016,646,257,5175,570,1612,15233
"06/11/2025 01:00",1096,1349,545,894,853,1887,618,237,4921,564,1570,14534
"06/11/2025 02:00",1063,1314,516,870,815,1803,598,225,4735,559,1541,14039
"06/11/2025 03:00",1049,1302,496,858,794,1757,593,219,4616,556,1520,13760
"06/11/2025 04:00",1059,1322,492,867,790,1759,604,217,4590,559,1526,13785
"06/11/2025 05:00",1098,1360,510,892,803,1802,633,224,4746,569,1562,14199
"06/11/2025 06:00",1142,1409,565,906,838,1897,639,248,5183,580,1617,15024
"06/11/2025 07:00",1141,1365,616,880,829,1983,573,263,5677,581,1668,15576
"06/11/2025 08:00",1072,1261,635,847,781,2025,500,261,6040,570,1671,15663
"06/11/2025 09:00",1019,1207,644,850,732,2059,447,261,6259,568,1676,15722
"06/11/2025 10:00",1009,1229,651,874,723,2130,430,265,6380,571,1684,15946
"06/11/2025 11:00",1045,1270,664,885,753,2250,421,274,6527,572,1693,16354
"06/11/2025 12:00",1073,1280,683,902,816,2384,416,286,6630,570,1702,16742
"06/11/2025 13:00",1117,1305,711,937,903,2555,414,301,6737,572,1730,17282
"06/11/2025 14:00",1152,1323,741,966,969,2737,428,331,6871,579,1756,17853
"06/11/2025 15:00",1211,1339,785,992,1045,2915,446,353,7042,582,1776,18486
"06/11/2025 16:00",1283,1397,818,1030,1141,3103,505,376,7198,589,1824,19264
"06/11/2025 17:00",1387,1527,844,1092,1237,3240,582,391,7241,600,1897,20038
"06/11/2025 18:00",1487,1687,835,1197,1302,3247,694,396,6995,613,1950,20403
"06/11/2025 19:00",1540,1806,822,1272,1320,3150,788,391,6793,622,1971,20475
"06/11/2025 20:00",1547,1817,802,1266,1305,3059,842,381,6628,622,1934,20203
