"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/18/2025 00:00","CAPITL",61757,32.75,0.78,0.00
"06/18/2025 00:00","CENTRL",61754,32.40,0.43,0.00
"06/18/2025 00:00","DUNWOD",61760,33.07,1.10,0.00
"06/18/2025 00:00","GENESE",61753,32.82,0.85,0.00
"06/18/2025 00:00","H Q",61844,32.02,0.05,0.00
"06/18/2025 00:00","HUD VL",61758,32.94,0.97,0.00
"06/18/2025 00:00","LONGIL",61762,33.05,1.09,0.00
"06/18/2025 00:00","MHK VL",61756,32.84,0.87,0.00
"06/18/2025 00:00","MILLWD",61759,33.06,1.09,0.00
"06/18/2025 00:00","N.Y.C.",61761,33.13,1.16,0.00
"06/18/2025 00:00","NORTH",61755,32.32,0.35,0.00
"06/18/2025 00:00","NPX",61845,32.47,0.50,0.00
"06/18/2025 00:00","O H",61846,32.47,0.50,0.00
"06/18/2025 00:00","PJM",61847,32.59,0.62,0.00
"06/18/2025 00:00","WEST",61752,33.01,1.04,0.00
"06/18/2025 01:00","CAPITL",61757,31.15,0.99,0.00
"06/18/2025 01:00","CENTRL",61754,30.62,0.46,0.00
"06/18/2025 01:00","DUNWOD",61760,31.45,1.29,0.00
"06/18/2025 01:00","GENESE",61753,30.83,0.66,0.00
"06/18/2025 01:00","H Q",61844,30.01,-0.16,0.00
"06/18/2025 01:00","HUD VL",61758,31.32,1.16,0.00
"06/18/2025 01:00","LONGIL",61762,32.71,1.37,-1.18
"06/18/2025 01:00","MHK VL",61756,31.08,0.92,0.00
"06/18/2025 01:00","MILLWD",61759,31.43,1.27,0.00
"06/18/2025 01:00","N.Y.C.",61761,31.49,1.33,0.00
"06/18/2025 01:00","NORTH",61755,30.26,0.10,0.00
"06/18/2025 01:00","NPX",61845,30.94,0.78,0.00
"06/18/2025 01:00","O H",61846,30.50,0.34,0.00
"06/18/2025 01:00","PJM",61847,30.92,0.75,0.00
"06/18/2025 01:00","WEST",61752,31.00,0.84,0.00
"06/18/2025 02:00","CAPITL",61757,28.54,1.04,0.00
"06/18/2025 02:00","CENTRL",61754,27.96,0.46,0.00
"06/18/2025 02:00","DUNWOD",61760,28.82,1.32,0.00
"06/18/2025 02:00","GENESE",61753,27.96,0.47,0.00
"06/18/2025 02:00","H Q",61844,27.28,-0.21,0.00
"06/18/2025 02:00","HUD VL",61758,28.70,1.21,0.00
"06/18/2025 02:00","LONGIL",61762,28.96,1.46,0.00
"06/18/2025 02:00","MHK VL",61756,28.37,0.87,0.00
"06/18/2025 02:00","MILLWD",61759,28.81,1.31,0.00
"06/18/2025 02:00","N.Y.C.",61761,28.85,1.35,0.00
"06/18/2025 02:00","NORTH",61755,27.43,-0.06,0.00
