"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/25/2025 00:00","CAPITL",61757,75.50,3.26,0.00
"06/25/2025 00:00","CENTRL",61754,73.23,0.99,0.00
"06/25/2025 00:00","DUNWOD",61760,77.74,5.50,0.00
"06/25/2025 00:00","GENESE",61753,74.02,1.78,0.00
"06/25/2025 00:00","H Q",61844,71.97,-1.18,-0.90
"06/25/2025 00:00","HUD VL",61758,76.87,4.63,0.00
"06/25/2025 00:00","LONGIL",61762,103.05,6.27,-24.53
"06/25/2025 00:00","MHK VL",61756,75.01,2.77,0.00
"06/25/2025 00:00","MILLWD",61759,77.33,5.09,0.00
"06/25/2025 00:00","N.Y.C.",61761,77.97,5.73,0.00
"06/25/2025 00:00","NORTH",61755,71.23,-1.01,0.00
"06/25/2025 00:00","NPX",61845,72.16,2.94,3.02
"06/25/2025 00:00","O H",61846,71.90,-0.35,0.00
"06/25/2025 00:00","PJM",61847,75.12,1.97,-0.90
"06/25/2025 00:00","WEST",61752,73.05,0.81,0.00
"06/25/2025 01:00","CAPITL",61757,74.56,3.02,0.00
"06/25/2025 01:00","CENTRL",61754,71.93,0.39,0.00
"06/25/2025 01:00","DUNWOD",61760,76.23,4.69,0.00
"06/25/2025 01:00","GENESE",61753,72.24,0.70,0.00
"06/25/2025 01:00","H Q",61844,70.74,-0.80,0.00
"06/25/2025 01:00","HUD VL",61758,75.44,3.90,0.00
"06/25/2025 01:00","LONGIL",61762,91.87,5.35,-14.97
"06/25/2025 01:00","MHK VL",61756,74.16,2.62,0.00
"06/25/2025 01:00","MILLWD",61759,75.85,4.31,0.00
"06/25/2025 01:00","N.Y.C.",61761,76.42,4.88,0.00
"06/25/2025 01:00","NORTH",61755,70.71,-0.83,0.00
"06/25/2025 01:00","NPX",61845,75.85,2.69,-1.62
"06/25/2025 01:00","O H",61846,70.07,-1.47,0.00
"06/25/2025 01:00","PJM",61847,72.51,1.00,0.03
"06/25/2025 01:00","WEST",61752,71.07,-0.47,0.00
"06/25/2025 02:00","CAPITL",61757,64.74,2.54,0.00
"06/25/2025 02:00","CENTRL",61754,62.35,0.15,0.00
"06/25/2025 02:00","DUNWOD",61760,66.18,3.99,0.00
"06/25/2025 02:00","GENESE",61753,62.63,0.43,0.00
"06/25/2025 02:00","H Q",61844,61.51,-0.69,0.00
"06/25/2025 02:00","HUD VL",61758,65.46,3.27,0.00
"06/25/2025 02:00","LONGIL",61762,90.29,4.88,-23.22
"06/25/2025 02:00","MHK VL",61756,64.37,2.18,0.00
"06/25/2025 02:00","MILLWD",61759,65.83,3.64,0.00
"06/25/2025 02:00","N.Y.C.",61761,66.42,4.23,0.00
"06/25/2025 02:00","NORTH",61755,61.61,-0.59,0.00
"06/25/2025 02:00","NPX",61845,64.37,2.18,0.00
"06/25/2025 02:00","O H",61846,60.90,-1.29,0.00
"06/25/2025 02:00","PJM",61847,62.85,0.70,0.04
"06/25/2025 02:00","WEST",61752,61.69,-0.50,0.00
"06/25/2025 03:00","CAPITL",61757,57.47,2.28,0.00
"06/25/2025 03:00","CENTRL",61754,55.21,0.02,0.00
"06/25/2025 03:00","DUNWOD",61760,58.90,3.70,0.00
"06/25/2025 03:00","GENESE",61753,54.85,-0.34,0.00
"06/25/2025 03:00","H Q",61844,54.62,-0.57,0.00
"06/25/2025 03:00","HUD VL",61758,58.19,3.00,0.00
"06/25/2025 03:00","LONGIL",61762,79.87,4.42,-20.26
"06/25/2025 03:00","MHK VL",61756,57.23,2.03,0.00
"06/25/2025 03:00","MILLWD",61759,58.56,3.37,0.00
"06/25/2025 03:00","N.Y.C.",61761,59.23,4.04,0.00
"06/25/2025 03:00","NORTH",61755,54.78,-0.41,0.00
"06/25/2025 03:00","NPX",61845,57.27,2.08,0.00
"06/25/2025 03:00","O H",61846,53.06,-2.14,0.00
"06/25/2025 03:00","PJM",61847,55.76,0.57,0.00
"06/25/2025 03:00","WEST",61752,53.88,-1.31,0.00
"06/25/2025 04:00","CAPITL",61757,61.98,2.53,0.00
"06/25/2025 04:00","CENTRL",61754,59.24,-0.22,0.00
"06/25/2025 04:00","DUNWOD",61760,63.37,3.92,0.00
"06/25/2025 04:00","GENESE",61753,58.62,-0.84,0.00
"06/25/2025 04:00","H Q",61844,58.98,-0.47,0.00
"06/25/2025 04:00","HUD VL",61758,62.62,3.16,0.00
"06/25/2025 04:00","LONGIL",61762,84.73,4.64,-20.64
"06/25/2025 04:00","MHK VL",61756,61.51,2.06,0.00
"06/25/2025 04:00","MILLWD",61759,63.02,3.56,0.00
"06/25/2025 04:00","N.Y.C.",61761,63.71,4.25,0.00
"06/25/2025 04:00","NORTH",61755,59.17,-0.28,0.00
"06/25/2025 04:00","NPX",61845,61.84,2.38,0.00
"06/25/2025 04:00","O H",61846,56.48,-2.98,0.00
"06/25/2025 04:00","PJM",61847,59.79,0.33,0.00
"06/25/2025 04:00","WEST",61752,57.39,-2.06,0.00
"06/25/2025 05:00","CAPITL",61757,62.90,2.60,0.00
"06/25/2025 05:00","CENTRL",61754,60.34,0.05,0.00
"06/25/2025 05:00","DUNWOD",61760,64.34,4.04,0.00
"06/25/2025 05:00","GENESE",61753,59.78,-0.52,0.00
"06/25/2025 05:00","H Q",61844,59.63,-0.63,0.04
"06/25/2025 05:00","HUD VL",61758,63.56,3.26,0.00
"06/25/2025 05:00","LONGIL",61762,74.40,4.88,-9.22
"06/25/2025 05:00","MHK VL",61756,62.44,2.15,0.00
"06/25/2025 05:00","MILLWD",61759,63.96,3.66,0.00
"06/25/2025 05:00","N.Y.C.",61761,64.72,4.42,0.00
"06/25/2025 05:00","NORTH",61755,59.86,-0.44,0.00
"06/25/2025 05:00","NPX",61845,62.67,2.41,0.04
"06/25/2025 05:00","O H",61846,57.64,-2.66,0.00
"06/25/2025 05:00","PJM",61847,60.78,0.53,0.05
"06/25/2025 05:00","WEST",61752,58.61,-1.68,0.00
"06/25/2025 06:00","CAPITL",61757,73.80,3.05,0.00
"06/25/2025 06:00","CENTRL",61754,70.77,0.02,0.00
"06/25/2025 06:00","DUNWOD",61760,75.30,4.55,0.00
"06/25/2025 06:00","GENESE",61753,69.86,-0.89,0.00
"06/25/2025 06:00","H Q",61844,70.10,-0.65,0.00
"06/25/2025 06:00","HUD VL",61758,74.43,3.68,0.00
"06/25/2025 06:00","LONGIL",61762,78.39,5.52,-2.12
"06/25/2025 06:00","MHK VL",61756,73.49,2.75,0.00
"06/25/2025 06:00","MILLWD",61759,74.88,4.13,0.00
"06/25/2025 06:00","N.Y.C.",61761,75.57,4.86,0.05
"06/25/2025 06:00","NORTH",61755,70.28,-0.47,0.00
"06/25/2025 06:00","NPX",61845,73.39,2.64,0.00
"06/25/2025 06:00","O H",61846,67.09,-3.66,0.00
"06/25/2025 06:00","PJM",61847,71.07,0.39,0.07
"06/25/2025 06:00","WEST",61752,68.33,-2.42,0.00
"06/25/2025 07:00","CAPITL",61757,79.62,3.27,0.00
"06/25/2025 07:00","CENTRL",61754,76.57,0.22,0.00
"06/25/2025 07:00","DUNWOD",61760,81.75,5.39,0.00
"06/25/2025 07:00","GENESE",61753,75.61,-0.75,0.00
"06/25/2025 07:00","H Q",61844,75.44,-0.92,0.00
"06/25/2025 07:00","HUD VL",61758,80.75,4.39,0.00
"06/25/2025 07:00","LONGIL",61762,85.71,6.40,-2.95
"06/25/2025 07:00","MHK VL",61756,79.59,3.24,0.00
"06/25/2025 07:00","MILLWD",61759,81.28,4.93,0.00
"06/25/2025 07:00","N.Y.C.",61761,82.02,5.67,0.00
"06/25/2025 07:00","NORTH",61755,75.61,-0.75,0.00
"06/25/2025 07:00","NPX",61845,79.43,3.07,0.00
"06/25/2025 07:00","O H",61846,72.54,-3.81,0.00
"06/25/2025 07:00","PJM",61847,77.07,0.72,0.00
"06/25/2025 07:00","WEST",61752,73.99,-2.37,0.00
"06/25/2025 08:00","CAPITL",61757,82.08,3.26,0.00
"06/25/2025 08:00","CENTRL",61754,79.27,0.44,0.00
"06/25/2025 08:00","DUNWOD",61760,84.86,6.04,0.00
"06/25/2025 08:00","GENESE",61753,79.22,0.39,0.00
