"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/01/2025 00:00","CAPITL",61757,14.47,0.61,0.00
"06/01/2025 00:00","CENTRL",61754,13.87,0.00,0.00
"06/01/2025 00:00","DUNWOD",61760,14.87,1.00,0.00
"06/01/2025 00:00","GENESE",61753,13.64,-0.23,0.00
"06/01/2025 00:00","H Q",61844,13.71,-0.16,0.00
"06/01/2025 00:00","HUD VL",61758,14.72,0.85,0.00
"06/01/2025 00:00","LONGIL",61762,15.00,1.14,0.00
"06/01/2025 00:00","MHK VL",61756,14.07,0.21,0.00
"06/01/2025 00:00","MILLWD",61759,14.81,0.95,0.00
"06/01/2025 00:00","N.Y.C.",61761,14.94,1.07,0.00
"06/01/2025 00:00","NORTH",61755,13.46,-0.41,0.00
"06/01/2025 00:00","NPX",61845,14.42,0.71,0.15
"06/01/2025 00:00","O H",61846,13.40,-0.44,0.02
"06/01/2025 00:00","PJM",61847,-9.19,0.27,23.33
"06/01/2025 00:00","WEST",61752,13.60,-0.27,0.00
"06/01/2025 01:00","CAPITL",61757,9.39,0.45,0.00
"06/01/2025 01:00","CENTRL",61754,8.91,-0.03,0.00
"06/01/2025 01:00","DUNWOD",61760,9.64,0.70,0.00
"06/01/2025 01:00","GENESE",61753,8.70,-0.25,0.00
"06/01/2025 01:00","H Q",61844,8.82,-0.12,0.00
"06/01/2025 01:00","HUD VL",61758,9.54,0.59,0.00
"06/01/2025 01:00","LONGIL",61762,9.77,0.83,0.00
"06/01/2025 01:00","MHK VL",61756,9.06,0.11,0.00
"06/01/2025 01:00","MILLWD",61759,9.60,0.66,0.00
"06/01/2025 01:00","N.Y.C.",61761,9.68,0.74,0.00
"06/01/2025 01:00","NORTH",61755,8.64,-0.30,0.00
"06/01/2025 01:00","NPX",61845,9.47,0.53,0.00
"06/01/2025 01:00","O H",61846,8.51,-0.44,0.00
"06/01/2025 01:00","PJM",61847,-49.83,0.15,58.92
"06/01/2025 01:00","WEST",61752,8.62,-0.32,0.00
"06/01/2025 02:00","CAPITL",61757,8.23,0.39,0.00
"06/01/2025 02:00","CENTRL",61754,7.83,-0.01,0.00
"06/01/2025 02:00","DUNWOD",61760,8.44,0.61,0.00
"06/01/2025 02:00","GENESE",61753,7.66,-0.17,0.00
"06/01/2025 02:00","H Q",61844,7.73,-0.11,0.00
"06/01/2025 02:00","HUD VL",61758,8.35,0.51,0.00
"06/01/2025 02:00","LONGIL",61762,8.57,0.73,0.00
"06/01/2025 02:00","MHK VL",61756,7.94,0.10,0.00
"06/01/2025 02:00","MILLWD",61759,8.41,0.57,0.00
"06/01/2025 02:00","N.Y.C.",61761,8.47,0.64,0.00
"06/01/2025 02:00","NORTH",61755,7.56,-0.27,0.00
"06/01/2025 02:00","NPX",61845,8.29,0.46,0.00
"06/01/2025 02:00","O H",61846,7.53,-0.30,0.00
"06/01/2025 02:00","PJM",61847,8.00,0.16,0.00
"06/01/2025 02:00","WEST",61752,7.63,-0.21,0.00
"06/01/2025 03:00","CAPITL",61757,8.06,0.38,0.00
"06/01/2025 03:00","CENTRL",61754,7.69,0.01,0.00
"06/01/2025 03:00","DUNWOD",61760,8.24,0.56,0.00
"06/01/2025 03:00","GENESE",61753,7.57,-0.11,0.00
"06/01/2025 03:00","H Q",61844,7.58,-0.11,0.00
