"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/23/2025 00:00","CAPITL",61757,51.75,1.89,0.00
"06/23/2025 00:00","CENTRL",61754,50.51,0.65,0.00
"06/23/2025 00:00","DUNWOD",61760,52.88,3.01,0.00
"06/23/2025 00:00","GENESE",61753,51.13,1.26,0.00
"06/23/2025 00:00","H Q",61844,46.60,-0.21,3.06
"06/23/2025 00:00","HUD VL",61758,52.49,2.63,0.00
"06/23/2025 00:00","LONGIL",61762,52.35,2.48,0.00
"06/23/2025 00:00","MHK VL",61756,51.19,1.32,0.00
"06/23/2025 00:00","MILLWD",61759,52.65,2.78,0.00
"06/23/2025 00:00","N.Y.C.",61761,53.05,3.18,0.00
"06/23/2025 00:00","NORTH",61755,50.29,0.43,0.00
"06/23/2025 00:00","NPX",61845,57.46,1.47,-6.12
"06/23/2025 00:00","O H",61846,49.88,0.01,0.00
"06/23/2025 00:00","PJM",61847,48.05,1.25,3.06
"06/23/2025 00:00","WEST",61752,50.59,0.72,0.00
"06/23/2025 01:00","CAPITL",61757,44.34,1.52,0.00
"06/23/2025 01:00","CENTRL",61754,43.16,0.33,0.00
"06/23/2025 01:00","DUNWOD",61760,45.48,2.66,0.00
"06/23/2025 01:00","GENESE",61753,43.31,0.48,0.00
"06/23/2025 01:00","H Q",61844,42.71,-0.11,0.00
"06/23/2025 01:00","HUD VL",61758,45.10,2.28,0.00
"06/23/2025 01:00","LONGIL",61762,45.36,2.54,0.00
"06/23/2025 01:00","MHK VL",61756,43.83,1.01,0.00
"06/23/2025 01:00","MILLWD",61759,45.26,2.44,0.00
"06/23/2025 01:00","N.Y.C.",61761,45.70,2.88,0.00
"06/23/2025 01:00","NORTH",61755,43.16,0.33,0.00
"06/23/2025 01:00","NPX",61845,44.11,1.29,0.00
"06/23/2025 01:00","O H",61846,42.09,-0.73,0.00
"06/23/2025 01:00","PJM",61847,43.73,0.90,0.00
"06/23/2025 01:00","WEST",61752,42.70,-0.13,0.00
"06/23/2025 02:00","CAPITL",61757,38.34,1.43,0.00
"06/23/2025 02:00","CENTRL",61754,36.93,0.02,0.00
"06/23/2025 02:00","DUNWOD",61760,39.33,2.42,0.00
"06/23/2025 02:00","GENESE",61753,36.68,-0.23,0.00
"06/23/2025 02:00","H Q",61844,36.83,-0.08,0.00
"06/23/2025 02:00","HUD VL",61758,38.99,2.08,0.00
"06/23/2025 02:00","LONGIL",61762,39.30,2.39,0.00
"06/23/2025 02:00","MHK VL",61756,37.72,0.80,0.00
"06/23/2025 02:00","MILLWD",61759,39.14,2.23,0.00
"06/23/2025 02:00","N.Y.C.",61761,39.51,2.60,0.00
"06/23/2025 02:00","NORTH",61755,37.19,0.28,0.00
"06/23/2025 02:00","NPX",61845,38.75,1.33,-0.51
"06/23/2025 02:00","O H",61846,35.39,-1.52,0.00
"06/23/2025 02:00","PJM",61847,37.47,0.56,0.00
"06/23/2025 02:00","WEST",61752,35.91,-1.00,0.00
"06/23/2025 03:00","CAPITL",61757,33.15,1.26,0.00
"06/23/2025 03:00","CENTRL",61754,31.87,-0.02,0.00
"06/23/2025 03:00","DUNWOD",61760,34.08,2.19,0.00
"06/23/2025 03:00","GENESE",61753,31.58,-0.32,0.00
"06/23/2025 03:00","H Q",61844,31.81,-0.08,0.00
"06/23/2025 03:00","HUD VL",61758,33.78,1.88,0.00
"06/23/2025 03:00","LONGIL",61762,34.14,2.25,0.00
"06/23/2025 03:00","MHK VL",61756,32.66,0.77,0.00
"06/23/2025 03:00","MILLWD",61759,33.91,2.01,0.00
"06/23/2025 03:00","N.Y.C.",61761,34.26,2.37,0.00
"06/23/2025 03:00","NORTH",61755,32.14,0.25,0.00
"06/23/2025 03:00","NPX",61845,33.11,1.22,0.00
"06/23/2025 03:00","O H",61846,30.45,-1.44,0.00
"06/23/2025 03:00","PJM",61847,32.40,0.50,0.00
"06/23/2025 03:00","WEST",61752,30.90,-1.00,0.00
"06/23/2025 04:00","CAPITL",61757,34.39,1.31,0.00
"06/23/2025 04:00","CENTRL",61754,33.07,-0.01,0.00
"06/23/2025 04:00","DUNWOD",61760,35.31,2.23,0.00
"06/23/2025 04:00","GENESE",61753,32.75,-0.34,0.00
"06/23/2025 04:00","H Q",61844,32.98,-0.11,0.00
"06/23/2025 04:00","HUD VL",61758,35.00,1.91,0.00
"06/23/2025 04:00","LONGIL",61762,35.33,2.24,0.00
"06/23/2025 04:00","MHK VL",61756,33.89,0.81,0.00
"06/23/2025 04:00","MILLWD",61759,35.13,2.05,0.00
"06/23/2025 04:00","N.Y.C.",61761,35.49,2.40,0.00
"06/23/2025 04:00","NORTH",61755,33.32,0.23,0.00
"06/23/2025 04:00","NPX",61845,34.30,1.22,0.00
"06/23/2025 04:00","O H",61846,31.57,-1.51,0.00
"06/23/2025 04:00","PJM",61847,33.59,0.51,0.00
"06/23/2025 04:00","WEST",61752,32.03,-1.05,0.00
"06/23/2025 05:00","CAPITL",61757,33.01,1.23,0.00
"06/23/2025 05:00","CENTRL",61754,31.77,0.00,0.00
"06/23/2025 05:00","DUNWOD",61760,33.88,2.11,0.00
"06/23/2025 05:00","GENESE",61753,31.54,-0.24,0.00
"06/23/2025 05:00","H Q",61844,31.70,-0.07,0.00
"06/23/2025 05:00","HUD VL",61758,33.57,1.80,0.00
