"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/15/2025 00:00","CAPITL",61757,25.39,0.58,0.00
"06/15/2025 00:00","CENTRL",61754,24.77,-0.04,0.00
"06/15/2025 00:00","DUNWOD",61760,25.76,0.95,0.00
"06/15/2025 00:00","GENESE",61753,24.63,-0.18,0.00
"06/15/2025 00:00","H Q",61844,24.98,0.17,0.00
"06/15/2025 00:00","HUD VL",61758,25.59,0.78,0.00
"06/15/2025 00:00","LONGIL",61762,26.01,1.20,0.00
"06/15/2025 00:00","MHK VL",61756,25.42,0.61,0.00
"06/15/2025 00:00","MILLWD",61759,25.63,0.83,0.00
"06/15/2025 00:00","N.Y.C.",61761,25.84,1.03,0.00
"06/15/2025 00:00","NORTH",61755,25.37,0.56,0.00
"06/15/2025 00:00","NPX",61845,25.14,0.33,0.00
"06/15/2025 00:00","O H",61846,24.30,-0.51,0.00
"06/15/2025 00:00","PJM",61847,26.33,0.19,-1.34
"06/15/2025 00:00","WEST",61752,24.68,-0.13,0.00
"06/15/2025 01:00","CAPITL",61757,26.04,0.70,0.00
"06/15/2025 01:00","CENTRL",61754,25.30,-0.04,0.00
"06/15/2025 01:00","DUNWOD",61760,26.40,1.07,0.00
"06/15/2025 01:00","GENESE",61753,25.10,-0.23,0.00
"06/15/2025 01:00","H Q",61844,25.41,0.08,0.00
"06/15/2025 01:00","HUD VL",61758,26.22,0.88,0.00
"06/15/2025 01:00","LONGIL",61762,26.72,1.39,0.00
"06/15/2025 01:00","MHK VL",61756,25.97,0.63,0.00
"06/15/2025 01:00","MILLWD",61759,26.28,0.95,0.00
"06/15/2025 01:00","N.Y.C.",61761,26.47,1.14,0.00
"06/15/2025 01:00","NORTH",61755,25.80,0.47,0.00
"06/15/2025 01:00","NPX",61845,25.81,0.55,0.07
"06/15/2025 01:00","O H",61846,24.78,-0.55,0.00
"06/15/2025 01:00","PJM",61847,25.55,0.22,0.00
"06/15/2025 01:00","WEST",61752,25.15,-0.18,0.00
"06/15/2025 02:00","CAPITL",61757,24.80,0.76,0.00
"06/15/2025 02:00","CENTRL",61754,24.04,0.00,0.00
"06/15/2025 02:00","DUNWOD",61760,25.17,1.13,0.00
"06/15/2025 02:00","GENESE",61753,23.80,-0.24,0.00
"06/15/2025 02:00","H Q",61844,24.01,-0.03,0.00
"06/15/2025 02:00","HUD VL",61758,24.96,0.92,0.00
"06/15/2025 02:00","LONGIL",61762,25.54,1.50,0.00
"06/15/2025 02:00","MHK VL",61756,24.67,0.63,0.00
"06/15/2025 02:00","MILLWD",61759,25.05,1.01,0.00
"06/15/2025 02:00","N.Y.C.",61761,25.24,1.21,0.00
"06/15/2025 02:00","NORTH",61755,24.36,0.32,0.00
"06/15/2025 02:00","NPX",61845,24.44,0.65,0.24
