"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/21/2025 00:00","CAPITL",61757,32.12,0.99,0.00
"06/21/2025 00:00","CENTRL",61754,31.16,0.04,0.00
"06/21/2025 00:00","DUNWOD",61760,33.06,1.94,0.00
"06/21/2025 00:00","GENESE",61753,31.11,-0.01,0.00
"06/21/2025 00:00","H Q",61844,30.87,-0.04,0.21
"06/21/2025 00:00","HUD VL",61758,32.76,1.64,0.00
"06/21/2025 00:00","LONGIL",61762,33.32,2.20,0.00
"06/21/2025 00:00","MHK VL",61756,32.10,0.97,0.00
"06/21/2025 00:00","MILLWD",61759,32.85,1.73,0.00
"06/21/2025 00:00","N.Y.C.",61761,33.19,2.07,0.00
"06/21/2025 00:00","NORTH",61755,31.38,0.25,0.00
"06/21/2025 00:00","NPX",61845,31.77,0.86,0.21
"06/21/2025 00:00","O H",61846,30.47,-0.65,0.00
"06/21/2025 00:00","PJM",61847,31.33,0.42,0.21
"06/21/2025 00:00","WEST",61752,30.82,-0.30,0.00
"06/21/2025 01:00","CAPITL",61757,29.29,0.96,0.00
"06/21/2025 01:00","CENTRL",61754,28.38,0.06,0.00
"06/21/2025 01:00","DUNWOD",61760,30.04,1.72,0.00
"06/21/2025 01:00","GENESE",61753,28.26,-0.06,0.00
"06/21/2025 01:00","H Q",61844,28.39,-0.11,-0.18
"06/21/2025 01:00","HUD VL",61758,29.77,1.44,0.00
"06/21/2025 01:00","LONGIL",61762,30.40,2.08,0.00
"06/21/2025 01:00","MHK VL",61756,29.10,0.78,0.00
"06/21/2025 01:00","MILLWD",61759,29.86,1.54,0.00
"06/21/2025 01:00","N.Y.C.",61761,30.15,1.83,0.00
"06/21/2025 01:00","NORTH",61755,28.46,0.14,0.00
"06/21/2025 01:00","NPX",61845,29.33,0.82,-0.18
"06/21/2025 01:00","O H",61846,27.69,-0.63,0.00
"06/21/2025 01:00","PJM",61847,28.83,0.33,-0.18
"06/21/2025 01:00","WEST",61752,28.00,-0.33,0.00
"06/21/2025 02:00","CAPITL",61757,26.91,0.95,0.00
"06/21/2025 02:00","CENTRL",61754,25.96,0.00,0.00
"06/21/2025 02:00","DUNWOD",61760,27.54,1.58,0.00
"06/21/2025 02:00","GENESE",61753,25.72,-0.24,0.00
"06/21/2025 02:00","H Q",61844,25.58,-0.17,0.21
"06/21/2025 02:00","HUD VL",61758,27.31,1.36,0.00
"06/21/2025 02:00","LONGIL",61762,27.72,1.76,0.00
"06/21/2025 02:00","MHK VL",61756,26.70,0.74,0.00
"06/21/2025 02:00","MILLWD",61759,27.39,1.43,0.00
"06/21/2025 02:00","N.Y.C.",61761,27.62,1.66,0.00
"06/21/2025 02:00","NORTH",61755,25.98,0.03,0.00
"06/21/2025 02:00","NPX",61845,26.59,0.84,0.21
"06/21/2025 02:00","O H",61846,25.00,-0.83,0.13
"06/21/2025 02:00","PJM",61847,26.01,0.26,0.21
"06/21/2025 02:00","WEST",61752,25.42,-0.54,0.00
"06/21/2025 03:00","CAPITL",61757,27.44,0.99,0.00
"06/21/2025 03:00","CENTRL",61754,26.53,0.07,0.00
"06/21/2025 03:00","DUNWOD",61760,28.00,1.54,0.00
"06/21/2025 03:00","GENESE",61753,26.25,-0.20,0.00
"06/21/2025 03:00","H Q",61844,26.25,-0.20,0.00
"06/21/2025 03:00","HUD VL",61758,27.79,1.34,0.00
"06/21/2025 03:00","LONGIL",61762,28.18,1.73,0.00
"06/21/2025 03:00","MHK VL",61756,27.27,0.81,0.00
"06/21/2025 03:00","MILLWD",61759,27.85,1.40,0.00
"06/21/2025 03:00","N.Y.C.",61761,28.08,1.62,0.00
"06/21/2025 03:00","NORTH",61755,26.47,0.02,0.00
"06/21/2025 03:00","NPX",61845,27.34,0.88,0.00
"06/21/2025 03:00","O H",61846,25.70,-0.75,0.00
"06/21/2025 03:00","PJM",61847,26.76,0.31,0.00
"06/21/2025 03:00","WEST",61752,25.99,-0.47,0.00
"06/21/2025 04:00","CAPITL",61757,26.92,0.98,0.00
"06/21/2025 04:00","CENTRL",61754,26.01,0.07,0.00
"06/21/2025 04:00","DUNWOD",61760,27.41,1.47,0.00
"06/21/2025 04:00","GENESE",61753,25.68,-0.26,0.00
"06/21/2025 04:00","H Q",61844,25.76,-0.18,0.00
"06/21/2025 04:00","HUD VL",61758,27.22,1.28,0.00
"06/21/2025 04:00","LONGIL",61762,27.55,1.61,0.00
"06/21/2025 04:00","MHK VL",61756,26.77,0.83,0.00
"06/21/2025 04:00","MILLWD",61759,27.28,1.33,0.00
"06/21/2025 04:00","N.Y.C.",61761,27.49,1.54,0.00
"06/21/2025 04:00","NORTH",61755,25.98,0.04,0.00
"06/21/2025 04:00","NPX",61845,26.81,0.87,0.00
"06/21/2025 04:00","O H",61846,24.89,-0.83,0.22
"06/21/2025 04:00","PJM",61847,26.22,0.28,0.00
"06/21/2025 04:00","WEST",61752,25.40,-0.55,0.00
"06/21/2025 05:00","CAPITL",61757,26.20,0.94,0.00
"06/21/2025 05:00","CENTRL",61754,25.34,0.08,0.00
"06/21/2025 05:00","DUNWOD",61760,26.68,1.42,0.00
"06/21/2025 05:00","GENESE",61753,25.03,-0.23,0.00
"06/21/2025 05:00","H Q",61844,25.09,-0.17,0.00
"06/21/2025 05:00","HUD VL",61758,26.50,1.24,0.00
"06/21/2025 05:00","LONGIL",61762,26.77,1.51,0.00
"06/21/2025 05:00","MHK VL",61756,26.08,0.82,0.00
"06/21/2025 05:00","MILLWD",61759,26.55,1.30,0.00
"06/21/2025 05:00","N.Y.C.",61761,26.77,1.50,0.00
"06/21/2025 05:00","NORTH",61755,25.31,0.05,0.00
"06/21/2025 05:00","NPX",61845,26.12,0.86,0.00
"06/21/2025 05:00","O H",61846,24.48,-0.78,0.00
"06/21/2025 05:00","PJM",61847,25.55,0.29,0.00
"06/21/2025 05:00","WEST",61752,24.75,-0.51,0.00
"06/21/2025 06:00","CAPITL",61757,25.62,0.86,0.00
"06/21/2025 06:00","CENTRL",61754,24.79,0.04,0.00
"06/21/2025 06:00","DUNWOD",61760,26.21,1.45,0.00
"06/21/2025 06:00","GENESE",61753,24.51,-0.25,0.00
"06/21/2025 06:00","H Q",61844,24.65,-0.10,0.00
"06/21/2025 06:00","HUD VL",61758,26.01,1.25,0.00
"06/21/2025 06:00","LONGIL",61762,26.32,1.56,0.00
"06/21/2025 06:00","MHK VL",61756,25.56,0.80,0.00
"06/21/2025 06:00","MILLWD",61759,26.08,1.32,0.00
"06/21/2025 06:00","N.Y.C.",61761,26.31,1.55,0.00
"06/21/2025 06:00","NORTH",61755,24.87,0.11,0.00
"06/21/2025 06:00","NPX",61845,25.60,0.84,0.00
"06/21/2025 06:00","O H",61846,23.98,-0.78,0.00
"06/21/2025 06:00","PJM",61847,25.07,0.31,0.00
"06/21/2025 06:00","WEST",61752,24.26,-0.50,0.00
"06/21/2025 07:00","CAPITL",61757,24.78,0.78,0.00
"06/21/2025 07:00","CENTRL",61754,23.95,-0.04,0.00
"06/21/2025 07:00","DUNWOD",61760,25.58,1.59,0.00
"06/21/2025 07:00","GENESE",61753,23.77,-0.23,0.00
"06/21/2025 07:00","H Q",61844,23.94,-0.05,0.00
"06/21/2025 07:00","HUD VL",61758,25.35,1.36,0.00
"06/21/2025 07:00","LONGIL",61762,25.75,1.76,0.00
"06/21/2025 07:00","MHK VL",61756,24.68,0.68,0.00
"06/21/2025 07:00","MILLWD",61759,25.44,1.45,0.00
"06/21/2025 07:00","N.Y.C.",61761,25.70,1.71,0.00
"06/21/2025 07:00","NORTH",61755,24.15,0.15,0.00
"06/21/2025 07:00","NPX",61845,24.88,0.89,0.00
"06/21/2025 07:00","O H",61846,23.35,-0.64,0.00
"06/21/2025 07:00","PJM",61847,24.42,0.42,0.00
"06/21/2025 07:00","WEST",61752,23.64,-0.35,0.00
"06/21/2025 08:00","CAPITL",61757,24.90,0.62,0.00
"06/21/2025 08:00","CENTRL",61754,24.06,-0.22,0.00
"06/21/2025 08:00","DUNWOD",61760,25.88,1.60,0.00
"06/21/2025 08:00","GENESE",61753,23.85,-0.43,0.00
"06/21/2025 08:00","H Q",61844,24.39,0.10,0.00
"06/21/2025 08:00","HUD VL",61758,25.61,1.33,0.00
"06/21/2025 08:00","LONGIL",61762,25.93,1.65,0.00
"06/21/2025 08:00","MHK VL",61756,24.84,0.56,0.00
"06/21/2025 08:00","MILLWD",61759,25.73,1.45,0.00
"06/21/2025 08:00","N.Y.C.",61761,26.01,1.73,0.00
"06/21/2025 08:00","NORTH",61755,24.57,0.29,0.00
"06/21/2025 08:00","NPX",61845,25.63,0.78,-0.56
"06/21/2025 08:00","O H",61846,23.40,-0.88,0.00
"06/21/2025 08:00","PJM",61847,24.58,0.30,0.00
"06/21/2025 08:00","WEST",61752,23.71,-0.57,0.00
"06/21/2025 09:00","CAPITL",61757,24.42,0.48,0.00
"06/21/2025 09:00","CENTRL",61754,23.66,-0.29,0.00
