"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/08/2025 00:00","CAPITL",61757,31.90,1.01,0.00
"06/08/2025 00:00","CENTRL",61754,30.99,0.10,0.00
"06/08/2025 00:00","DUNWOD",61760,32.91,2.02,0.00
"06/08/2025 00:00","GENESE",61753,30.65,-0.24,0.00
"06/08/2025 00:00","H Q",61844,28.54,-0.11,2.24
"06/08/2025 00:00","HUD VL",61758,32.66,1.77,0.00
"06/08/2025 00:00","LONGIL",61762,33.22,2.33,0.00
"06/08/2025 00:00","MHK VL",61756,31.74,0.84,0.00
"06/08/2025 00:00","MILLWD",61759,32.72,1.83,0.00
"06/08/2025 00:00","N.Y.C.",61761,33.06,2.17,0.00
"06/08/2025 00:00","NORTH",61755,31.05,0.16,0.00
"06/08/2025 00:00","NPX",61845,28.44,1.32,3.77
"06/08/2025 00:00","O H",61846,30.27,-0.62,0.00
"06/08/2025 00:00","PJM",61847,34.54,0.12,-3.53
"06/08/2025 00:00","WEST",61752,30.85,-0.04,0.00
"06/08/2025 01:00","CAPITL",61757,28.84,0.93,0.00
"06/08/2025 01:00","CENTRL",61754,27.94,0.04,0.00
"06/08/2025 01:00","DUNWOD",61760,29.74,1.83,0.00
"06/08/2025 01:00","GENESE",61753,27.51,-0.40,0.00
"06/08/2025 01:00","H Q",61844,27.77,-0.14,0.00
"06/08/2025 01:00","HUD VL",61758,29.52,1.61,0.00
"06/08/2025 01:00","LONGIL",61762,30.05,2.14,0.00
"06/08/2025 01:00","MHK VL",61756,28.66,0.75,0.00
"06/08/2025 01:00","MILLWD",61759,29.59,1.68,0.00
"06/08/2025 01:00","N.Y.C.",61761,29.88,1.97,0.00
"06/08/2025 01:00","NORTH",61755,28.01,0.10,0.00
"06/08/2025 01:00","NPX",61845,29.19,1.28,0.00
"06/08/2025 01:00","O H",61846,27.10,-0.81,0.00
"06/08/2025 01:00","PJM",61847,27.90,0.00,0.00
"06/08/2025 01:00","WEST",61752,27.61,-0.30,0.00
"06/08/2025 02:00","CAPITL",61757,24.02,0.86,0.00
"06/08/2025 02:00","CENTRL",61754,23.22,0.05,0.00
"06/08/2025 02:00","DUNWOD",61760,24.80,1.64,0.00
"06/08/2025 02:00","GENESE",61753,22.83,-0.33,0.00
"06/08/2025 02:00","H Q",61844,22.93,-0.23,0.00
"06/08/2025 02:00","HUD VL",61758,24.63,1.46,0.00
"06/08/2025 02:00","LONGIL",61762,25.04,1.88,0.00
"06/08/2025 02:00","MHK VL",61756,23.86,0.70,0.00
"06/08/2025 02:00","MILLWD",61759,24.69,1.52,0.00
"06/08/2025 02:00","N.Y.C.",61761,24.91,1.75,0.00
"06/08/2025 02:00","NORTH",61755,23.12,-0.05,0.00
"06/08/2025 02:00","NPX",61845,24.43,1.27,0.00
"06/08/2025 02:00","O H",61846,22.50,-0.66,0.00
"06/08/2025 02:00","PJM",61847,23.23,0.07,0.00
"06/08/2025 02:00","WEST",61752,22.91,-0.25,0.00
"06/08/2025 03:00","CAPITL",61757,24.07,0.80,0.00
"06/08/2025 03:00","CENTRL",61754,23.28,0.01,0.00
"06/08/2025 03:00","DUNWOD",61760,24.69,1.42,0.00
"06/08/2025 03:00","GENESE",61753,22.87,-0.40,0.00
"06/08/2025 03:00","H Q",61844,23.10,-0.17,0.00
"06/08/2025 03:00","HUD VL",61758,24.54,1.27,0.00
"06/08/2025 03:00","LONGIL",61762,24.85,1.58,0.00
"06/08/2025 03:00","MHK VL",61756,23.96,0.69,0.00
"06/08/2025 03:00","MILLWD",61759,24.58,1.30,0.00
"06/08/2025 03:00","N.Y.C.",61761,24.77,1.50,0.00
"06/08/2025 03:00","NORTH",61755,23.24,-0.03,0.00
"06/08/2025 03:00","NPX",61845,24.35,1.10,0.02
