"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/28/2025 00:00","CAPITL",61757,32.49,0.87,0.00
"06/28/2025 00:00","CENTRL",61754,31.63,0.01,0.00
"06/28/2025 00:00","DUNWOD",61760,33.44,1.82,0.00
"06/28/2025 00:00","GENESE",61753,32.07,0.44,0.00
"06/28/2025 00:00","H Q",61844,31.61,-0.01,0.00
"06/28/2025 00:00","HUD VL",61758,33.16,1.54,0.00
"06/28/2025 00:00","LONGIL",61762,33.65,2.03,0.00
"06/28/2025 00:00","MHK VL",61756,32.10,0.48,0.00
"06/28/2025 00:00","MILLWD",61759,33.23,1.61,0.00
"06/28/2025 00:00","N.Y.C.",61761,33.57,1.95,0.00
"06/28/2025 00:00","NORTH",61755,31.67,0.05,0.00
"06/28/2025 00:00","NPX",61845,32.86,1.23,0.00
"06/28/2025 00:00","O H",61846,31.54,-0.08,0.00
"06/28/2025 00:00","PJM",61847,32.26,0.64,0.00
"06/28/2025 00:00","WEST",61752,31.88,0.26,0.00
"06/28/2025 01:00","CAPITL",61757,26.68,0.89,0.00
"06/28/2025 01:00","CENTRL",61754,25.69,-0.10,0.00
"06/28/2025 01:00","DUNWOD",61760,27.57,1.77,0.00
"06/28/2025 01:00","GENESE",61753,25.80,0.00,0.00
"06/28/2025 01:00","H Q",61844,26.79,-0.12,-1.12
"06/28/2025 01:00","HUD VL",61758,27.29,1.50,0.00
"06/28/2025 01:00","LONGIL",61762,27.79,2.00,0.00
"06/28/2025 01:00","MHK VL",61756,26.16,0.36,0.00
"06/28/2025 01:00","MILLWD",61759,27.40,1.61,0.00
"06/28/2025 01:00","N.Y.C.",61761,27.72,1.93,0.00
"06/28/2025 01:00","NORTH",61755,25.54,-0.25,0.00
"06/28/2025 01:00","NPX",61845,32.13,1.54,-4.80
"06/28/2025 01:00","O H",61846,25.23,-0.56,0.00
"06/28/2025 01:00","PJM",61847,27.41,0.50,-1.12
"06/28/2025 01:00","WEST",61752,25.48,-0.32,0.00
"06/28/2025 02:00","CAPITL",61757,22.52,0.89,0.00
"06/28/2025 02:00","CENTRL",61754,21.68,0.04,0.00
"06/28/2025 02:00","DUNWOD",61760,23.30,1.67,0.00
"06/28/2025 02:00","GENESE",61753,21.60,-0.03,0.00
"06/28/2025 02:00","H Q",61844,21.16,-0.27,0.20
"06/28/2025 02:00","HUD VL",61758,23.08,1.45,0.00
"06/28/2025 02:00","LONGIL",61762,23.39,1.76,0.00
"06/28/2025 02:00","MHK VL",61756,22.03,0.39,0.00
"06/28/2025 02:00","MILLWD",61759,23.18,1.55,0.00
"06/28/2025 02:00","N.Y.C.",61761,23.43,1.80,0.00
"06/28/2025 02:00","NORTH",61755,21.21,-0.42,0.00
"06/28/2025 02:00","NPX",61845,27.39,1.53,-4.23
"06/28/2025 02:00","O H",61846,19.97,-0.53,1.14
"06/28/2025 02:00","PJM",61847,22.03,0.60,0.20
"06/28/2025 02:00","WEST",61752,21.35,-0.28,0.00
"06/28/2025 03:00","CAPITL",61757,24.19,1.00,0.00
"06/28/2025 03:00","CENTRL",61754,23.24,0.05,0.00
"06/28/2025 03:00","DUNWOD",61760,24.97,1.79,0.00
"06/28/2025 03:00","GENESE",61753,23.13,-0.06,0.00
"06/28/2025 03:00","H Q",61844,22.83,-0.36,0.00
"06/28/2025 03:00","HUD VL",61758,24.75,1.57,0.00
"06/28/2025 03:00","LONGIL",61762,24.95,1.76,0.00
"06/28/2025 03:00","MHK VL",61756,23.64,0.45,0.00
"06/28/2025 03:00","MILLWD",61759,24.86,1.67,0.00
"06/28/2025 03:00","N.Y.C.",61761,25.11,1.92,0.00
"06/28/2025 03:00","NORTH",61755,22.56,-0.62,0.00
"06/28/2025 03:00","NPX",61845,29.65,1.64,-4.82
"06/28/2025 03:00","O H",61846,22.60,-0.59,0.00
"06/28/2025 03:00","PJM",61847,23.81,0.62,0.00
"06/28/2025 03:00","WEST",61752,22.84,-0.35,0.00
"06/28/2025 04:00","CAPITL",61757,27.13,0.99,0.00
"06/28/2025 04:00","CENTRL",61754,26.11,-0.02,0.00
"06/28/2025 04:00","DUNWOD",61760,27.85,1.72,0.00
"06/28/2025 04:00","GENESE",61753,26.03,-0.11,0.00
"06/28/2025 04:00","H Q",61844,25.86,-0.28,0.00
"06/28/2025 04:00","HUD VL",61758,27.64,1.51,0.00
"06/28/2025 04:00","LONGIL",61762,27.86,1.73,0.00
"06/28/2025 04:00","MHK VL",61756,26.63,0.50,0.00
"06/28/2025 04:00","MILLWD",61759,27.73,1.59,0.00
"06/28/2025 04:00","N.Y.C.",61761,27.96,1.83,0.00
"06/28/2025 04:00","NORTH",61755,25.59,-0.55,0.00
