"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/19/2025 00:00","CAPITL",61757,47.86,1.41,0.00
"06/19/2025 00:00","CENTRL",61754,46.26,-0.18,0.00
"06/19/2025 00:00","DUNWOD",61760,48.32,1.88,0.00
"06/19/2025 00:00","GENESE",61753,45.84,-0.60,0.00
"06/19/2025 00:00","H Q",61844,46.82,0.37,0.00
"06/19/2025 00:00","HUD VL",61758,48.12,1.67,0.00
"06/19/2025 00:00","LONGIL",61762,48.10,1.66,0.00
"06/19/2025 00:00","MHK VL",61756,48.30,1.86,0.00
"06/19/2025 00:00","MILLWD",61759,48.13,1.68,0.00
"06/19/2025 00:00","N.Y.C.",61761,48.39,1.95,0.00
"06/19/2025 00:00","NORTH",61755,47.66,1.22,0.00
"06/19/2025 00:00","NPX",61845,48.59,1.04,-1.10
"06/19/2025 00:00","O H",61846,44.42,-2.02,0.00
"06/19/2025 00:00","PJM",61847,46.37,-0.07,0.00
"06/19/2025 00:00","WEST",61752,45.08,-1.37,0.00
"06/19/2025 01:00","CAPITL",61757,45.04,1.03,0.00
"06/19/2025 01:00","CENTRL",61754,43.81,-0.21,0.00
"06/19/2025 01:00","DUNWOD",61760,45.48,1.47,0.00
"06/19/2025 01:00","GENESE",61753,43.42,-0.59,0.00
"06/19/2025 01:00","H Q",61844,43.59,0.37,0.80
"06/19/2025 01:00","HUD VL",61758,45.31,1.30,0.00
"06/19/2025 01:00","LONGIL",61762,45.41,1.40,0.00
"06/19/2025 01:00","MHK VL",61756,45.69,1.68,0.00
"06/19/2025 01:00","MILLWD",61759,45.31,1.30,0.00
"06/19/2025 01:00","N.Y.C.",61761,45.56,1.55,0.00
"06/19/2025 01:00","NORTH",61755,45.18,1.17,0.00
"06/19/2025 01:00","NPX",61845,42.22,0.64,2.43
"06/19/2025 01:00","O H",61846,42.09,-1.92,0.00
"06/19/2025 01:00","PJM",61847,42.99,-0.22,0.80
"06/19/2025 01:00","WEST",61752,42.54,-1.47,0.00
"06/19/2025 02:00","CAPITL",61757,40.47,1.05,0.00
"06/19/2025 02:00","CENTRL",61754,38.93,-0.49,0.00
"06/19/2025 02:00","DUNWOD",61760,40.79,1.37,0.00
"06/19/2025 02:00","GENESE",61753,38.56,-0.87,0.00
"06/19/2025 02:00","H Q",61844,39.74,0.32,0.00
"06/19/2025 02:00","HUD VL",61758,40.64,1.22,0.00
"06/19/2025 02:00","LONGIL",61762,40.75,1.33,0.00
"06/19/2025 02:00","MHK VL",61756,40.75,1.33,0.00
"06/19/2025 02:00","MILLWD",61759,40.65,1.23,0.00
"06/19/2025 02:00","N.Y.C.",61761,40.88,1.46,0.00
"06/19/2025 02:00","NORTH",61755,40.42,1.00,0.00
"06/19/2025 02:00","NPX",61845,40.18,0.76,0.00
"06/19/2025 02:00","O H",61846,37.28,-2.14,0.00
"06/19/2025 02:00","PJM",61847,39.01,-0.41,0.00
"06/19/2025 02:00","WEST",61752,37.64,-1.78,0.00
"06/19/2025 03:00","CAPITL",61757,39.58,1.09,0.00
"06/19/2025 03:00","CENTRL",61754,38.11,-0.38,0.00
"06/19/2025 03:00","DUNWOD",61760,39.96,1.47,0.00
"06/19/2025 03:00","GENESE",61753,37.58,-0.91,0.00
"06/19/2025 03:00","H Q",61844,38.73,0.24,0.00
"06/19/2025 03:00","HUD VL",61758,39.81,1.32,0.00
"06/19/2025 03:00","LONGIL",61762,39.86,1.37,0.00
"06/19/2025 03:00","MHK VL",61756,39.79,1.30,0.00
"06/19/2025 03:00","MILLWD",61759,39.81,1.32,0.00
"06/19/2025 03:00","N.Y.C.",61761,40.05,1.55,0.00
"06/19/2025 03:00","NORTH",61755,39.34,0.85,0.00
