"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/24/2025 00:00","CAPITL",61757,67.83,2.77,0.00
"06/24/2025 00:00","CENTRL",61754,65.43,0.37,0.00
"06/24/2025 00:00","DUNWOD",61760,69.48,4.43,0.00
"06/24/2025 00:00","GENESE",61753,65.67,0.61,0.00
"06/24/2025 00:00","H Q",61844,64.32,-0.74,0.00
"06/24/2025 00:00","HUD VL",61758,68.81,3.75,0.00
"06/24/2025 00:00","LONGIL",61762,88.55,4.54,-18.95
"06/24/2025 00:00","MHK VL",61756,66.51,1.45,0.00
"06/24/2025 00:00","MILLWD",61759,69.20,4.14,0.00
"06/24/2025 00:00","N.Y.C.",61761,69.42,4.56,0.19
"06/24/2025 00:00","NORTH",61755,64.33,-0.73,0.00
"06/24/2025 00:00","NPX",61845,68.23,2.64,-0.53
"06/24/2025 00:00","O H",61846,63.27,-1.79,0.00
"06/24/2025 00:00","PJM",61847,65.67,1.10,0.49
"06/24/2025 00:00","WEST",61752,64.19,-0.87,0.00
"06/24/2025 01:00","CAPITL",61757,69.97,2.46,0.00
"06/24/2025 01:00","CENTRL",61754,67.64,0.12,0.00
"06/24/2025 01:00","DUNWOD",61760,71.69,4.18,0.00
"06/24/2025 01:00","GENESE",61753,67.56,0.04,0.00
"06/24/2025 01:00","H Q",61844,67.06,-0.45,0.00
"06/24/2025 01:00","HUD VL",61758,70.98,3.46,0.00
"06/24/2025 01:00","LONGIL",61762,74.10,3.92,-2.67
"06/24/2025 01:00","MHK VL",61756,68.83,1.32,0.00
"06/24/2025 01:00","MILLWD",61759,71.36,3.84,0.00
"06/24/2025 01:00","N.Y.C.",61761,71.07,4.37,0.82
"06/24/2025 01:00","NORTH",61755,67.23,-0.29,0.00
"06/24/2025 01:00","NPX",61845,69.73,2.21,0.00
"06/24/2025 01:00","O H",61846,65.16,-2.35,0.00
"06/24/2025 01:00","PJM",61847,67.27,0.77,1.01
"06/24/2025 01:00","WEST",61752,66.05,-1.46,0.00
"06/24/2025 02:00","CAPITL",61757,66.54,2.37,0.00
"06/24/2025 02:00","CENTRL",61754,63.86,-0.32,0.00
"06/24/2025 02:00","DUNWOD",61760,68.17,4.00,0.00
"06/24/2025 02:00","GENESE",61753,63.62,-0.55,0.00
"06/24/2025 02:00","H Q",61844,63.77,-0.40,0.00
"06/24/2025 02:00","HUD VL",61758,67.45,3.28,0.00
"06/24/2025 02:00","LONGIL",61762,67.95,3.78,0.00
"06/24/2025 02:00","MHK VL",61756,65.32,1.15,0.00
"06/24/2025 02:00","MILLWD",61759,67.84,3.67,0.00
"06/24/2025 02:00","N.Y.C.",61761,67.89,4.32,0.60
"06/24/2025 02:00","NORTH",61755,63.93,-0.24,0.00
"06/24/2025 02:00","NPX",61845,66.36,2.19,0.00
"06/24/2025 02:00","O H",61846,61.29,-2.88,0.00
"06/24/2025 02:00","PJM",61847,63.73,0.33,0.77
"06/24/2025 02:00","WEST",61752,61.98,-2.19,0.00
"06/24/2025 03:00","CAPITL",61757,58.68,2.16,0.00
