"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/13/2025 00:00","CAPITL",61757,36.69,1.10,0.00
"06/13/2025 00:00","CENTRL",61754,35.55,-0.04,0.00
"06/13/2025 00:00","DUNWOD",61760,37.97,2.38,0.00
"06/13/2025 00:00","GENESE",61753,34.95,-0.64,0.00
"06/13/2025 00:00","H Q",61844,35.30,-0.06,0.22
"06/13/2025 00:00","HUD VL",61758,37.55,1.96,0.00
"06/13/2025 00:00","LONGIL",61762,38.28,2.69,0.00
"06/13/2025 00:00","MHK VL",61756,36.31,0.72,0.00
"06/13/2025 00:00","MILLWD",61759,37.74,2.15,0.00
"06/13/2025 00:00","N.Y.C.",61761,38.14,2.55,0.00
"06/13/2025 00:00","NORTH",61755,35.86,0.27,0.00
"06/13/2025 00:00","NPX",61845,36.28,1.09,0.40
"06/13/2025 00:00","O H",61846,34.27,-1.49,-0.17
"06/13/2025 00:00","PJM",61847,35.94,0.57,0.22
"06/13/2025 00:00","WEST",61752,34.71,-0.88,0.00
"06/13/2025 01:00","CAPITL",61757,30.81,0.99,0.00
"06/13/2025 01:00","CENTRL",61754,29.87,0.06,0.00
"06/13/2025 01:00","DUNWOD",61760,31.77,1.95,0.00
"06/13/2025 01:00","GENESE",61753,29.53,-0.29,0.00
"06/13/2025 01:00","H Q",61844,29.51,-0.15,0.16
"06/13/2025 01:00","HUD VL",61758,31.45,1.64,0.00
"06/13/2025 01:00","LONGIL",61762,31.96,2.14,0.00
"06/13/2025 01:00","MHK VL",61756,30.50,0.69,0.00
"06/13/2025 01:00","MILLWD",61759,31.59,1.77,0.00
"06/13/2025 01:00","N.Y.C.",61761,31.92,2.11,0.00
"06/13/2025 01:00","NORTH",61755,29.93,0.11,0.00
"06/13/2025 01:00","NPX",61845,30.69,1.02,0.16
"06/13/2025 01:00","O H",61846,28.64,-0.79,0.38
"06/13/2025 01:00","PJM",61847,30.23,0.57,0.16
"06/13/2025 01:00","WEST",61752,29.50,-0.31,0.00
"06/13/2025 02:00","CAPITL",61757,26.48,0.93,0.00
"06/13/2025 02:00","CENTRL",61754,25.61,0.06,0.00
"06/13/2025 02:00","DUNWOD",61760,27.25,1.70,0.00
"06/13/2025 02:00","GENESE",61753,25.22,-0.33,0.00
"06/13/2025 02:00","H Q",61844,25.35,-0.20,0.00
"06/13/2025 02:00","HUD VL",61758,26.97,1.42,0.00
"06/13/2025 02:00","LONGIL",61762,27.43,1.88,0.00
"06/13/2025 02:00","MHK VL",61756,26.24,0.69,0.00
"06/13/2025 02:00","MILLWD",61759,27.09,1.54,0.00
"06/13/2025 02:00","N.Y.C.",61761,27.40,1.85,0.00
"06/13/2025 02:00","NORTH",61755,25.56,0.02,0.00
"06/13/2025 02:00","NPX",61845,26.61,0.97,-0.08
"06/13/2025 02:00","O H",61846,24.78,-0.77,0.00
"06/13/2025 02:00","PJM",61847,26.04,0.49,0.00
"06/13/2025 02:00","WEST",61752,25.18,-0.37,0.00
"06/13/2025 03:00","CAPITL",61757,20.31,0.64,0.00
"06/13/2025 03:00","CENTRL",61754,19.67,0.00,0.00
"06/13/2025 03:00","DUNWOD",61760,20.88,1.22,0.00
"06/13/2025 03:00","GENESE",61753,19.32,-0.34,0.00
"06/13/2025 03:00","H Q",61844,19.57,-0.09,0.00
"06/13/2025 03:00","HUD VL",61758,20.69,1.02,0.00
"06/13/2025 03:00","LONGIL",61762,21.04,1.38,0.00
"06/13/2025 03:00","MHK VL",61756,20.19,0.53,0.00
"06/13/2025 03:00","MILLWD",61759,20.77,1.11,0.00
"06/13/2025 03:00","N.Y.C.",61761,21.00,1.34,0.00
"06/13/2025 03:00","NORTH",61755,19.72,0.06,0.00
"06/13/2025 03:00","NPX",61845,20.23,0.64,0.08
"06/13/2025 03:00","O H",61846,18.96,-0.71,0.00
"06/13/2025 03:00","PJM",61847,19.98,0.32,0.00
"06/13/2025 03:00","WEST",61752,19.26,-0.40,0.00
"06/13/2025 04:00","CAPITL",61757,25.53,0.76,0.00
"06/13/2025 04:00","CENTRL",61754,24.75,-0.02,0.00
"06/13/2025 04:00","DUNWOD",61760,26.16,1.39,0.00
"06/13/2025 04:00","GENESE",61753,24.35,-0.42,0.00
"06/13/2025 04:00","H Q",61844,24.73,-0.04,0.00
"06/13/2025 04:00","HUD VL",61758,25.93,1.16,0.00
"06/13/2025 04:00","LONGIL",61762,26.34,1.57,0.00
"06/13/2025 04:00","MHK VL",61756,25.44,0.67,0.00
"06/13/2025 04:00","MILLWD",61759,26.01,1.25,0.00
"06/13/2025 04:00","N.Y.C.",61761,26.28,1.51,0.00
"06/13/2025 04:00","NORTH",61755,24.95,0.18,0.00
"06/13/2025 04:00","NPX",61845,25.49,0.72,0.00
"06/13/2025 04:00","O H",61846,23.90,-0.87,0.00
"06/13/2025 04:00","PJM",61847,25.10,0.33,0.00
"06/13/2025 04:00","WEST",61752,24.26,-0.51,0.00
"06/13/2025 05:00","CAPITL",61757,28.12,0.70,0.00
"06/13/2025 05:00","CENTRL",61754,27.25,-0.17,0.00
"06/13/2025 05:00","DUNWOD",61760,28.66,1.24,0.00
"06/13/2025 05:00","GENESE",61753,26.83,-0.59,0.00
"06/13/2025 05:00","H Q",61844,27.58,0.16,0.00
"06/13/2025 05:00","HUD VL",61758,28.45,1.03,0.00
"06/13/2025 05:00","LONGIL",61762,28.75,1.33,0.00
"06/13/2025 05:00","MHK VL",61756,28.12,0.70,0.00
"06/13/2025 05:00","MILLWD",61759,28.53,1.11,0.00
"06/13/2025 05:00","N.Y.C.",61761,28.76,1.34,0.00
"06/13/2025 05:00","NORTH",61755,27.87,0.45,0.00
"06/13/2025 05:00","NPX",61845,28.00,0.58,0.00
"06/13/2025 05:00","O H",61846,26.25,-1.17,0.00
"06/13/2025 05:00","PJM",61847,27.54,0.12,0.00
"06/13/2025 05:00","WEST",61752,26.67,-0.75,0.00
"06/13/2025 06:00","CAPITL",61757,27.14,0.78,0.00
"06/13/2025 06:00","CENTRL",61754,26.15,-0.21,0.00
"06/13/2025 06:00","DUNWOD",61760,27.73,1.37,0.00
"06/13/2025 06:00","GENESE",61753,25.65,-0.71,0.00
"06/13/2025 06:00","H Q",61844,26.34,0.15,0.17
"06/13/2025 06:00","HUD VL",61758,27.49,1.13,0.00
"06/13/2025 06:00","LONGIL",61762,27.92,1.56,0.00
"06/13/2025 06:00","MHK VL",61756,27.07,0.71,0.00
"06/13/2025 06:00","MILLWD",61759,27.58,1.22,0.00
"06/13/2025 06:00","N.Y.C.",61761,27.86,1.50,0.00
"06/13/2025 06:00","NORTH",61755,26.78,0.42,0.00
"06/13/2025 06:00","NPX",61845,26.86,0.66,0.17
"06/13/2025 06:00","O H",61846,24.99,-1.37,0.00
"06/13/2025 06:00","PJM",61847,26.31,0.11,0.17
"06/13/2025 06:00","WEST",61752,25.42,-0.94,0.00
"06/13/2025 07:00","CAPITL",61757,33.59,0.89,0.00
"06/13/2025 07:00","CENTRL",61754,32.42,-0.28,0.00
"06/13/2025 07:00","DUNWOD",61760,34.60,1.90,0.00
"06/13/2025 07:00","GENESE",61753,31.83,-0.88,0.00
"06/13/2025 07:00","H Q",61844,33.34,0.20,-0.44
"06/13/2025 07:00","HUD VL",61758,34.26,1.56,0.00
"06/13/2025 07:00","LONGIL",61762,34.87,2.17,0.00
"06/13/2025 07:00","MHK VL",61756,33.64,0.93,0.00
