"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/09/2025 00:00","CAPITL",61757,29.33,0.89,0.00
"06/09/2025 00:00","CENTRL",61754,28.25,-0.19,0.00
"06/09/2025 00:00","DUNWOD",61760,29.84,1.40,0.00
"06/09/2025 00:00","GENESE",61753,27.85,-0.60,0.00
"06/09/2025 00:00","H Q",61844,28.75,0.09,-0.21
"06/09/2025 00:00","HUD VL",61758,29.66,1.21,0.00
"06/09/2025 00:00","LONGIL",61762,29.67,1.23,0.00
"06/09/2025 00:00","MHK VL",61756,29.01,0.57,0.00
"06/09/2025 00:00","MILLWD",61759,29.71,1.26,0.00
"06/09/2025 00:00","N.Y.C.",61761,29.89,1.45,0.00
"06/09/2025 00:00","NORTH",61755,28.80,0.35,0.00
"06/09/2025 00:00","NPX",61845,29.83,1.10,-0.29
"06/09/2025 00:00","O H",61846,27.28,-1.17,0.00
"06/09/2025 00:00","PJM",61847,28.85,0.20,-0.21
"06/09/2025 00:00","WEST",61752,27.74,-0.70,0.00
"06/09/2025 01:00","CAPITL",61757,27.62,0.96,0.00
"06/09/2025 01:00","CENTRL",61754,26.52,-0.14,0.00
"06/09/2025 01:00","DUNWOD",61760,28.17,1.51,0.00
"06/09/2025 01:00","GENESE",61753,26.12,-0.54,0.00
"06/09/2025 01:00","H Q",61844,22.91,-0.07,3.68
"06/09/2025 01:00","HUD VL",61758,27.98,1.31,0.00
"06/09/2025 01:00","LONGIL",61762,27.90,1.24,0.00
"06/09/2025 01:00","MHK VL",61756,27.13,0.46,0.00
"06/09/2025 01:00","MILLWD",61759,28.06,1.40,0.00
"06/09/2025 01:00","N.Y.C.",61761,28.23,1.57,0.00
"06/09/2025 01:00","NORTH",61755,26.82,0.16,0.00
"06/09/2025 01:00","NPX",61845,32.14,1.32,-4.16
"06/09/2025 01:00","O H",61846,25.62,-1.04,0.00
"06/09/2025 01:00","PJM",61847,23.30,0.32,3.68
"06/09/2025 01:00","WEST",61752,26.04,-0.62,0.00
"06/09/2025 02:00","CAPITL",61757,23.16,0.92,0.00
"06/09/2025 02:00","CENTRL",61754,22.15,-0.08,0.00
"06/09/2025 02:00","DUNWOD",61760,23.60,1.36,0.00
