Timestamp,PTID,Equipment Name,Outage Date/Time
06/04/2025 00:02:00,25013,E.SAYRE_-NWAVERLY_115_956,06/02/2025 08:00:00
06/04/2025 00:02:00,25015,WARREN__-FALCONER_115_171,05/27/2025 08:05:00
06/04/2025 00:02:00,25020,HUDSONP_-FARRAGUT_345_B3402,01/15/2018 10:15:00
06/04/2025 00:02:00,25034,BERKSHIR-ALPS_____345_393,06/02/2025 10:26:00
06/04/2025 00:02:00,25038,MARION__-FARRAGUT_345_C3403,01/15/2018 12:05:00
06/04/2025 00:02:00,25043,FARRAGUT_345C_345A_TR12,01/15/2018 12:03:00
06/04/2025 00:02:00,25044,FARRAGUT_345B_345A_TR11,01/15/2018 10:15:00
06/04/2025 00:02:00,25055,LEEDS___-HURLYAVE_345_301,05/12/2025 08:43:00
06/04/2025 00:02:00,25057,FARMGTN_-BORDRCTY_115_4-977,06/03/2025 11:26:00
06/04/2025 00:02:00,25078,PLATSBRG-KNTFSRNC_115_PS1/B,06/02/2025 09:24:00
06/04/2025 00:02:00,25080,PANNELRG-FARMGTN__115_8,06/03/2025 11:31:00
06/04/2025 00:02:00,25125,N.AKRON_-BATAVIA__115_108,05/07/2025 07:58:00
06/04/2025 00:02:00,25134,ASTANNEX-E13THSTA_345_Q35L,04/24/2025 23:24:00
06/04/2025 00:02:00,25149,ELBRIDGE-LAFAYTTE_345_17-LE,05/05/2025 07:36:00
06/04/2025 00:02:00,25150,SHORE_RD-LAKSUCSS_138_368,04/30/2025 23:44:00
06/04/2025 00:02:00,25218,HURLYAVE-ROSETON__345_303,06/02/2025 09:28:00
06/04/2025 00:02:00,25229,MARCY___-EDIC_____345_UE1-7,05/29/2025 07:29:00
06/04/2025 00:02:00,25241,ALLENFLS-COLTON___115_3,06/02/2025 07:00:00
06/04/2025 00:02:00,25243,INGHAM_C-INGHAM_E_115_R81,02/01/2015 00:00:00
06/04/2025 00:02:00,25275,MOSES___-MASSENA__230_MMS2,05/19/2025 05:14:00
06/04/2025 00:02:00,25308,NRTHPORT-PILGRIM__138_677,05/30/2025 00:40:00
06/04/2025 00:02:00,25375,CHATGUAY-BEAUHARN_120_1363,04/03/2025 16:56:00
06/04/2025 00:02:00,25387,CLAY_____345_115_BK 1,05/14/2025 09:27:00
06/04/2025 00:02:00,25419,HURLYAVE_345_115_BK 1,06/02/2025 09:25:00
06/04/2025 00:02:00,25447,WHAVSTOR_345_138_BK 194,06/02/2025 09:14:00
06/04/2025 00:02:00,25465,E13THSTA_345_138_BK 14,06/02/2025 12:38:00
06/04/2025 00:02:00,25467,E13THSTA_345_138_BK 10,02/24/2025 19:56:00
06/04/2025 00:02:00,25482,CHATGUAY_765_120_BK 11,04/03/2025 16:56:00
06/04/2025 00:02:00,25514,LITTLRIV-COLTON___115_8,06/02/2025 08:12:00
06/04/2025 00:02:00,25527,EASTRIVR_138_69__BK 112,05/03/2025 00:01:00
06/04/2025 00:02:00,25550,PILGRIM_-HAUPPAUG_138_871,06/03/2025 13:15:00
06/04/2025 00:02:00,25559,ASTORIAE-ASTORIAG_138_34124M,04/23/2025 01:28:00
06/04/2025 00:02:00,25560,ASTORIAE-ASTORIAG_138_34124L,04/23/2025 01:28:00
06/04/2025 00:02:00,25561,ASTORIAE-ASTORIAG_138_34125L,07/25/2024 00:56:00
06/04/2025 00:02:00,25562,ASTORIAE-ASTORIAG_138_34125M,07/25/2024 00:56:00
06/04/2025 00:02:00,25563,ASTORIAW-ASTORIAG_138_24124M,05/07/2025 23:13:00
06/04/2025 00:02:00,25564,ASTORIAW-ASTORIAG_138_24124L,05/07/2025 23:13:00
06/04/2025 00:02:00,25567,BOWLINE_-WHAVSTRW_345_67,04/30/2025 01:00:00
06/04/2025 00:02:00,25604,PILGRIM__138B_138A_PAR,06/03/2025 13:16:00
06/04/2025 00:02:00,25619,SMITHFLD-SALISBRY_69__690/FV,05/26/2025 21:58:00
06/04/2025 00:02:00,25631,EASTRIVR_69C__69A__BK 112,05/03/2025 01:22:00
06/04/2025 00:02:00,25653,RAINEY___345_22__BK 3S_60L,01/23/2025 21:08:00
06/04/2025 00:02:00,25666,MASSENA__765_230_AT2,05/19/2025 05:13:00
06/04/2025 00:02:00,25700,HOMER C__345_230_S,04/27/2025 23:17:00
06/04/2025 00:02:00,25701,HOMER C__345_230_N,04/28/2025 10:47:00
06/04/2025 00:02:00,25721,MILLBURY-CARP HL__345_302,05/30/2025 10:03:00
06/04/2025 00:02:00,25769,ASTORIAW-ASTORIAG_138_24121,09/16/2022 16:58:00
06/04/2025 00:02:00,25770,ASTORIAW-ASTORIAG_138_24122,08/09/2023 11:57:00
06/04/2025 00:02:00,25781,VERNON___138_20__31081M,04/16/2025 00:49:00
06/04/2025 00:02:00,25782,VERNON___138_20__31081L,04/16/2025 00:49:00
06/04/2025 00:02:00,25783,VERNON___138_20__31082M,04/22/2025 00:41:00
