BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
150528_1,WND (Wind),60338_OnshoreWindTurbine_EWF,60338,Onshore Wind Turbine,0.0
240293_1,WND (Wind),60339_OnshoreWindTurbine_HCWF,60339,Onshore Wind Turbine,0.0
200189_1,WND (Wind),59066_OnshoreWindTurbine_MVII,59066,Onshore Wind Turbine,0.0
160286_1,WND (Wind),58614_OnshoreWindTurbine_PAT1,58614,Onshore Wind Turbine,0.0
150499_1,WND (Wind),57520_OnshoreWindTurbine_1,57520,Onshore Wind Turbine,0.0
150489_1,NG (Natural Gas),55320_NaturalGasFiredCombinedCycle_GT1,55320,Natural Gas Fired Combined Cycle,853.3723845189640
240222_1,WND (Wind),56291_OnshoreWindTurbine_2,56291,Onshore Wind Turbine,0.0
210337_1,NG (Natural Gas),58001_NaturalGasFiredCombinedCycle_STG-2,58001,Natural Gas Fired Combined Cycle,848.1892185919150
200168_1,NG (Natural Gas),55123_NaturalGasFiredCombinedCycle_CTG1,55123,Natural Gas Fired Combined Cycle,856.5869678880090
200169_1,NG (Natural Gas),55123_NaturalGasFiredCombinedCycle_CTG2,55123,Natural Gas Fired Combined Cycle,856.5869678880090
190129_1,WND (Wind),58242_OnshoreWindTurbine_1,58242,Onshore Wind Turbine,0.0
240258_1,WND (Wind),56763_OnshoreWindTurbine_2,56763,Onshore Wind Turbine,0.0
240223_1,WND (Wind),56291_OnshoreWindTurbine_1,56291,Onshore Wind Turbine,0.0
150477_1,NG (Natural Gas),55139_NaturalGasFiredCombinedCycle_CTG1,55139,Natural Gas Fired Combined Cycle,895.2716193969870
220209_1,WND (Wind),59332_OnshoreWindTurbine_MSCRK,59332,Onshore Wind Turbine,0.0
190132_1,WND (Wind),58596_OnshoreWindTurbine_GRVWI,58596,Onshore Wind Turbine,0.0
190123_1,WND (Wind),57983_OnshoreWindTurbine_1,57983,Onshore Wind Turbine,0.0
210339_1,NG (Natural Gas),58001_NaturalGasFiredCombinedCycle_CTG-2,58001,Natural Gas Fired Combined Cycle,848.1892185919150
140309_1,NG (Natural Gas),3548_NaturalGasSteamTurbine_1,3548,Natural Gas Steam Turbine,1392.6550016981400
190209_1,WND (Wind),63030_OnshoreWindTurbine_CBRKS,63030,Onshore Wind Turbine,0.0
270214_1,NG (Natural Gas),55144_NaturalGasFiredCombinedCycle_U3,55144,Natural Gas Fired Combined Cycle,895.7279129464840
240244_1,WND (Wind),56593_OnshoreWindTurbine_RO1,56593,Onshore Wind Turbine,0.0
260208_1,NG (Natural Gas),55091_NaturalGasFiredCombinedCycle_STK1,55091,Natural Gas Fired Combined Cycle,899.2126309111640
220214_1,WND (Wind),59943_OnshoreWindTurbine_1,59943,Onshore Wind Turbine,0.0
220142_1,NG (Natural Gas),55215_NaturalGasFiredCombinedCycle_STG1,55215,Natural Gas Fired Combined Cycle,830.6789607640070
220143_1,NG (Natural Gas),55215_NaturalGasFiredCombinedCycle_STG2,55215,Natural Gas Fired Combined Cycle,830.6789607640070
