Date,Adj Close,Close,High,Low,Open,Volume
,QG=F,QG=F,QG=F,QG=F,QG=F,QG=F
2019-01-02,2.9579999446868896,2.9579999446868896,3.0350000858306885,2.9049999713897705,2.934999942779541,1171
2019-01-03,2.944999933242798,2.944999933242798,3.009999990463257,2.875,2.9649999141693115,1144
2019-01-04,3.0439999103546143,3.0439999103546143,3.0450000762939453,2.9000000953674316,2.9100000858306885,1541
2019-01-07,3.0450000762939453,3.0450000762939453,3.0450000762939453,2.9149999618530273,2.9700000286102295,796
2019-01-08,2.9670000076293945,2.9670000076293945,3.049999952316284,2.950000047683716,2.9549999237060547,1091
2019-01-09,2.9839999675750732,2.9839999675750732,3.0250000953674316,2.934999942779541,3.0199999809265137,793
2019-01-10,2.9690001010894775,2.9690001010894775,3.0850000381469727,2.9600000381469727,2.994999885559082,1421
2019-01-11,3.0989999771118164,3.0989999771118164,3.1649999618530273,2.984999895095825,2.984999895095825,1109
2019-01-14,3.0999999046325684,3.0999999046325684,3.619999885559082,3.0999999046325684,3.299999952316284,2632
2019-01-15,3.500999927520752,3.500999927520752,3.7249999046325684,3.430000066757202,3.609999895095825,3048
2019-01-16,3.384999990463257,3.384999990463257,3.694999933242798,3.3399999141693115,3.440000057220459,3409
2019-01-17,3.4149999618530273,3.4149999618530273,3.5850000381469727,3.369999885559082,3.430000066757202,2643
2019-01-18,3.4800000190734863,3.4800000190734863,3.494999885559082,3.2049999237060547,3.424999952316284,2446
2019-01-22,3.0399999618530273,3.0399999618530273,3.3550000190734863,3.0250000953674316,3.3450000286102295,2900
2019-01-23,2.9800000190734863,2.9800000190734863,3.1649999618530273,2.9600000381469727,3.055000066757202,1587
2019-01-24,3.0999999046325684,3.0999999046325684,3.1549999713897705,2.990000009536743,3.0299999713897705,1129
2019-01-25,3.180000066757202,3.180000066757202,3.200000047683716,3.049999952316284,3.1500000953674316,515
2019-01-28,2.9110000133514404,2.9110000133514404,2.9749999046325684,2.890000104904175,2.924999952316284,1438
2019-01-29,2.9049999713897705,2.9049999713897705,2.9200000762939453,2.799999952316284,2.890000104904175,1269
